2915, 0_1_0_BEDOELEN-IK, 1, val
46234, 0_6_0_SHAKER, C, val
48314, 0_7_0_BAHREIN, S, val
48003, 0_8_0_GRAPPIG-B, N, val
46510, 0_1_0_HYPNOTISEREN, 1, train
46764, 0_6_0_COLOMBIA, C, val
3087, 0_3_0_WETEN-B-IK, B, test
2449, 0_16_0_5, 5, val
8567, 0_4_0_TASHI-BRADFORD, Money, test
3487, 0_21_0_WINNEN-B, M, val
46715, 0_2_0_ARGENTINIE-A, C_spread, val
186, 0_3_0_VAN-D, B, test
1154, 0_14_0_AFSPRAAK-C, T, val
2579, 0_22_0_12-A, L, val
864, 0_22_0_17-A, L, val
2989, 0_23_0_TELHAND, 3, val
47341, 0_9_0_FONDUE-A, V, val
2685, 0_1_0_ROND, 1, train
3371, 0_3_0_TENNIS-B, B, test
48507, 0_3_0_ASYMMETRISCH-B, B, test
1533, 0_7_0_DURVEN, S, val
4640, 0_14_0_EERLIJK-D, T, val
47492, 0_3_0_HAM, B, test
44075, 0_3_0_AFVRAGEN-B, B, test
243, 0_2_0_KEPPEL, C_spread, val
1467, 0_10_0_BOVEN, B_bent, val
48450, 0_8_0_POPULAIR-B, N, val
49250, 0_24_0_IJS-D, Y, val
2815, 0_3_0_VINDEN-A, B, train
46614, 0_6_0_SCANNEN-B, C, val
3360, 0_1_0_STELT-NIETS-VOOR, 1, train
4059, 0_16_0_AVATAR-A, 5, val
3207, 0_16_0_PAULA-FIKKERT, 5, val
2384, 0_1_0_SCHOUDER, 1, train
47075, 0_7_0_OMA-B, S, val
796, 0_3_0_GA-MAAR, B, train
8564, 0_16_0_HANNAH-LUTZENBERGER, 5, val
379, 0_8_0_TEKENEN-A, N, test
368, 0_9_0_GEWOON-B, V, val
2966, 0_21_0_OMA-A, M, val
2937, 0_8_0_EERLIJK-A, N, test
2740, 0_9_0_CHEF-A, V, val
3102, 0_5_0_BIJVOORBEELD-C, Baby_C, val
49235, 0_16_0_KROATIE-B, 5, val
47331, 0_4_0_XTC-A, Money, test
1803, 0_11_0_MOORD-D, A, val
4690, 0_25_0_ZOEN-A, Beak_spread, val
1106, 0_4_0_MOORD-A, Money, train
3330, 0_16_0_KLEUR-G, 5, val
861, 0_1_0_DOOR-B, 1, train
561, 0_6_0_GLAS-B, C, test
2093, 0_11_0_ANDERS-A, A, val
47294, 0_3_0_PANNENKOEK-B, B, train
1019, 0_3_0_VERDER-B, B, train
2657, 0_1_0_BELANGRIJK-A, 1, train
2788, 0_10_0_PAS-A, B_bent, val
275, 0_5_0_ITALIE-A, Baby_C, val
43, 0_1_0_KANS-A, 1, train
4052, 0_26_0_INGEBORG-VAN-GIJN, I, val
4452, 0_1_0_DIRECTEUR-D, 1, train
48500, 0_1_0_EVEN-WACHTEN-B, 1, train
650, 0_8_0_KLOPT-B, N, test
777, 0_11_0_INDRUKKEN-B, A, val
44295, 0_11_0_INDRUKKEN-B, A, val
46237, 0_1_0_SMOOTHIE-A, 1, train
1493, 0_20_0_WAAR-C, W, val
745, 0_9_0_ZWOLLE, V, test
46826, 0_8_0_HAARVERF, N, test
277, 0_8_0_NEDERLAND-B, N, test
339, 0_11_0_BEHOEFTIG-A, A, val
903, 0_9_0_ZIEN-A, V, test
162, 0_1_0_HART-A, 1, train
44047, 0_24_0_WEL-B, Y, val
2810, 0_2_0_STEM-D, C_spread, val
1400, 0_4_0_RITS, Money, train
3833, 0_1_0_#Z, 1, train
601, 0_7_0_STAART, S, test
5410, 0_1_0_ON-, 1, train
48387, 0_5_0_KUBUS, Baby_C, test
45822, 0_3_0_VIS-A, B, train
46981, 0_3_0_BRUG-OPEN, B, train
1542, 0_1_0_SLIM-B, 1, train
40014, 0_22_0_LISA-LEPP, L, val
905, 0_5_0_RIVIER-A, Baby_C, test
47359, 0_9_0_VORK-B, V, test
1273, 0_11_0_AFRIKA-C, A, test
2332, 0_4_0_AFKEUREN, Money, train
1131, 0_1_0_TOT-B, 1, train
46842, 0_27_0_LUXE-A, 5r, val
2650, 0_1_0_UUR-C, 1, train
2434, 0_22_0_70-A, L, val
278, 0_19_0_SENSEO-A, V_curved, val
40017, 0_1_0_PROMOTIE-B, 1, train
1874, 0_1_0_TIJD-B, 1, train
1448, 0_3_0_GELUK-A, B, train
48354, 0_11_0_VERLIEFD-B, A, test
279, 0_19_0_SENSEO-B, V_curved, val
2855, 0_26_0_MEI-C, I, val
91, 0_1_0_UITNODIGEN-A, 1, train
494, 0_8_0_NOG-A, N, test
2425, 0_9_0_20-A, V, test
4484, 0_1_0_COMMANDEREN, 1, train
4111, 0_14_0_ZIEL-A, T, val
1815, 0_11_0_WARM-B, A, test
4489, 0_1_0_LIEVER-A, 1, train
49194, 0_27_0_SOG, 5r, val
3949, 0_4_0_KOPEN-D, Money, train
2329, 0_7_0_KRACHT, S, test
1389, 0_4_0_SCHEREN, Money, train
46480, 0_12_0_AANKLAGEN, 1_curved, val
1087, 0_1_0_BUITEN-D, 1, train
48229, 0_22_0_77-C, L, val
1134, 0_1_0_VOOR-D, 1, train
43978, 0_12_0_ALBERT-WESTERHOF, 1_curved, val
347, 0_4_0_TIMMEREN-A, Money, train
4344, 0_4_0_DEVENTER-A, Money, train
1347, 0_3_0_UIT-B, B, train
2478, 0_5_0_GROOTOUDER-B, Baby_C, test
865, 0_20_0_18-A, W, val
923, 0_14_0_ONDERWIJS-A, T, val
46256, 0_2_0_COUSCOUS-B, C_spread, test
752, 0_11_0_AANBELLEN, A, test
46924, 0_3_0_BRAZILIE-C, B, train
4197, 0_28_0_23-A, Other, val
2330, 0_3_0_HOOFDPIJN-A, B, train
2662, 0_1_0_HELIKOPTER, 1, train
2123, 0_1_0_MOND, 1, train
2502, 0_16_0_VERVELEN-A, 5, test
2443, 0_9_0_2-A, V, test
40207, 0_3_0_GERAAKT-B, B, train
1834, 0_1_0_HELE, 1, train
1481, 0_4_0_OPVOEDEN, Money, train
3480, 0_24_0_AMY-STOEL-B, Y, val
895, 0_7_0_AANKLOPPEN-A, S, test
8801, 0_3_0_HAND-OP-HOOFD, B, train
3400, 0_6_0_TOREN, C, test
46974, 0_8_0_GEVAARLIJK-B, N, train
46297, 0_4_0_SATE-B, Money, train
3830, 0_20_0_#W, W, val
47500, 0_22_0_WATER-GEVEN, L, val
191, 0_4_0_SUBSIDIE-A, Money, train
2083, 0_4_0_SUIKER-A, Money, train
1409, 0_19_0_SENSEO-D, V_curved, val
47232, 0_1_0_STIJF-B, 1, train
1436, 0_3_0_HOUDEN-VAN, B, train
46541, 0_3_0_CURSUS-B, B, train
2057, 0_1_0_KWISPELEN, 1, train
1151, 0_1_0_OOK-C, 1, train
4042, 0_1_0_ACHTER-C, 1, train
4365, 0_3_0_MEEMAKEN-B, B, train
3233, 0_24_0_GAAN-OM, Y, val
270, 0_29_0_DRACHTEN, B_curved, val
205, 0_10_0_MENS, B_bent, val
46268, 0_12_0_UI-B, 1_curved, val
48041, 0_30_0_HART-F, Baby_beak, val
3189, 0_21_0_MIRNA-OLIVEIRA, M, val
2386, 0_1_0_STIL-A, 1, train
1618, 0_18_0_DESKUNDIG-C, K, val
2571, 0_22_0_LIMONADE, L, val
2586, 0_2_0_SINAASAPPEL, C_spread, test
3344, 0_15_0_CIJFER-A, Baby_O, val
2006, 0_3_0_HALLO-A, B, train
2831, 0_6_0_EIGEN-A, C, test
4055, 0_31_0_ADAM-SCHEMBRI, Beak_open_spread, val
1374, 0_10_0_KWARTIER-A, B_bent, test
11, 0_16_0_VERBAASD-B, 5, test
2121, 0_19_0_ORAAL-A, V_curved, val
933, 0_10_0_ROEPEN-A, B_bent, test
4044, 0_3_0_MEESTER-HOOGEVEEN, B, train
1635, 0_3_0_LANG-A, B, train
3439, 0_3_0_ALLOCHTOON-D, B, train
1108, 0_11_0_MORGEN-A, A, test
2529, 0_5_0_DORP, Baby_C, test
1190, 0_22_0_LOYAAL, L, test
33, 0_20_0_WILL-HENDRIKS, W, val
47105, 0_4_0_TREKKEN-B, Money, train
1637, 0_11_0_OPERATIE, A, test
40214, 0_8_0_NOOD-B, N, train
139, 0_5_0_STIK-A, Baby_C, test
41, 0_12_0_UITDAGEN-A, 1_curved, val
344, 0_7_0_TOCH-B, S, test
46161, 0_3_0_ZALM, B, train
46687, 0_3_0_BRUGGE, B, train
1832, 0_1_0_GRAFIEK, 1, train
4502, 0_4_0_DELFT-B, Money, train
1939, 0_4_0_GOEDKOOP-C, Money, train
44299, 0_32_0_MAKKELIJK-B, 5m, val
3826, 0_7_0_#S, S, test
47396, 0_12_0_HOER-B, 1_curved, val
46235, 0_3_0_SPEK-A, B, train
2431, 0_11_0_60-A, A, train
290, 0_22_0_LIMBURG, L, test
2665, 0_14_0_PRACHTIG-A, T, val
2759, 0_8_0_GRAPPIG-D, N, train
190, 0_26_0_STOUT-C, I, val
603, 0_5_0_STATION-C, Baby_C, test
927, 0_4_0_PUNT-A, Money, train
3134, 0_28_0_ELLEBOOGSTOOT, Other, val
56, 0_12_0_HERINNEREN-A, 1_curved, test
1840, 0_27_0_LUI, 5r, val
36736, 0_6_0_PAKKEN-B, C, test
4543, 0_6_0_WOLF-A, C, test
1842, 0_14_0_NAAM-C, T, test
4349, 0_4_0_STROOIEN-A, Money, train
2779, 0_8_0_NAAM-E, N, train
2325, 0_3_0_SCHOUDERKLOPJE, B, train
47306, 0_20_0_DRONE, W, val
5, 0_3_0_LAATSTE-A, B, train
47121, 0_3_0_OVER-D, B, train
2849, 0_11_0_BESTE-A, A, train
1069, 0_1_0_REGELMATIG-A, 1, train
45819, 0_1_0_ROOD, 1, train
1308, 0_5_0_PRIESTER, Baby_C, test
46331, 0_14_0_KNOOP-B, T, test
4442, 0_6_0_MAAT-HORIZONTAAL-E, C, test
1705, 0_22_0_FILMEN-A, L, test
863, 0_11_0_16-A, A, train
1804, 0_8_0_NAAM-H, N, train
4453, 0_1_0_DIRECTEUR-E, 1, train
1008, 0_11_0_SNEL-D, A, train
3145, 0_14_0_DRINKEN-E, T, test
44020, 0_3_0_APART-D, B, train
48859, 0_7_0_MAORI, S, train
2671, 0_1_0_TORNADO-A, 1, train
569, 0_1_0_NIET-AAN-GEDACHT, 1, train
49245, 0_3_0_KLAP-B, B, train
1902, 0_11_0_IEDEREEN-A, A, train
3019, 0_22_0_LEF, L, test
648, 0_2_0_KLOOTZAK-A, C_spread, test
2880, 0_1_0_RUG-A, 1, train
1070, 0_3_0_REGELMATIG-B, B, train
2866, 0_1_0_GRAPPIG-C, 1, train
49092, 0_3_0_GELUK-C, B, train
144, 0_1_0_VERLEGEN-A, 1, train
4681, 0_6_0_OLIFANT, C, test
47867, 0_2_0_ONVOORSTELBAAR-B, C_spread, test
47857, 0_3_0_BEIJING-B, B, train
2088, 0_1_0_TWEEEN-C, 1, train
769, 0_9_0_KIJKEN-A, V, test
46224, 0_14_0_HARING, T, test
922, 0_4_0_ONDERWERP-D, Money, train
2110, 0_16_0_WASSEN-C, 5, test
124, 0_26_0_IS-A, I, val
1471, 0_3_0_BELANG, B, train
3894, 0_1_0_SPREKEN, 1, train
496, 0_14_0_ONSCHULDIG, T, test
47528, 0_30_0_TOMMY-HILFIGER, Baby_beak, val
46157, 0_7_0_NOOT-A, S, train
2791, 0_2_0_POST, C_spread, test
2361, 0_16_0_EVEN-DENKEN-E, 5, test
3815, 0_8_0_#H, N, train
2940, 0_1_0_EN-A, 1, train
2132, 0_14_0_OUD-C, T, test
3405, 0_10_0_VRAGEN-B, B_bent, test
387, 0_1_0_BOOS-B, 1, train
1855, 0_1_0_PER, 1, train
1172, 0_5_0_PIJP, Baby_C, train
4655, 0_4_0_DORDRECHT-C, Money, train
45934, 0_2_0_ANESTHESIST, C_spread, test
195, 0_28_0_AANLEUNEN, Other, val
43952, 0_11_0_ETHIOPIE-A, A, train
2163, 0_1_0_HERINNEREN-C, 1, train
647, 0_7_0_JAMMER-B, S, train
2708, 0_9_0_OOK-B, V, test
2734, 0_7_0_HART-BONST, S, train
2094, 0_24_0_ANDERS-B, Y, val
2607, 0_2_0_DRAAIEN-A, C_spread, test
3235, 0_1_0_WENNEN-A, 1, train
2056, 0_29_0_KLEUR-A, B_curved, val
2067, 0_1_0_MINUUT, 1, train
1338, 0_33_0_OORDOP, Baby_beak_open, val
2577, 0_11_0_11-A, A, train
1649, 0_3_0_JUNI-A, B, train
44134, 0_33_0_VERKOUDEN-B, Baby_beak_open, val
783, 0_11_0_GOED-A, A, train
1270, 0_2_0_GRONINGEN, C_spread, train
1012, 0_3_0_SUKKEL-B, B, train
48747, 0_3_0_HEE-B, B, train
2552, 0_14_0_TANTE-C, T, test
3687, 0_4_0_BAAS-B, Money, train
1674, 0_20_0_DENEMARKEN, W, test
2614, 0_2_0_GRIJS-A, C_spread, train
169, 0_3_0_KOMEN-B, B, train
3266, 0_9_0_VERKEERD, V, train
3832, 0_24_0_#Y, Y, val
500, 0_11_0_PLEISTER-B, A, train
44043, 0_11_0_WENNEN-C, A, train
3375, 0_9_0_BETEKENEN-B, V, train
446, 0_6_0_OKTOBER-A, C, train
3816, 0_26_0_#I, I, val
842, 0_2_0_HIJGEN-A, C_spread, train
3513, 0_15_0_NAAM-I, Baby_O, val
2985, 0_1_0_TELHAND, 1, train
1260, 0_21_0_MALI, M, val
1035, 0_12_0_ZEUREN, 1_curved, test
3220, 0_11_0_VOORDEEL-B, A, train
48618, 0_3_0_ZEIL-A, B, train
47929, 0_11_0_ZELFMOORD-A, A, train
3088, 0_5_0_GEHOORAPPARAAT-B, Baby_C, train
1997, 0_24_0_WAT-D, Y, test
1977, 0_2_0_WALGELIJK-B, C_spread, train
3488, 0_4_0_WINST, Money, train
2453, 0_20_0_8-A, W, test
631, 0_6_0_PECH-A, C, train
48752, 0_34_0_MEEGEVEN, Beak, val
44291, 0_1_0_TALENT-A, 1, train
3663, 0_6_0_SENSEO-I, C, train
665, 0_16_0_ROOSTER, 5, test
47233, 0_3_0_SOEP-B, B, train
46774, 0_12_0_EGYPTE-B, 1_curved, test
1032, 0_11_0_WIE-C, A, train
3293, 0_7_0_RUSLAND-C, S, train
2927, 0_6_0_CURSUS-A, C, train
824, 0_1_0_BOREN-A, 1, train
46726, 0_6_0_AJAX-B, C, train
1490, 0_1_0_SOP, 1, train
49251, 0_9_0_INDIAAN-C, V, train
4652, 0_7_0_AANGELIJND-B, S, train
3650, 0_3_0_BLIND-F, B, train
4644, 0_3_0_MIS-D, B, train
48821, 0_3_0_HEUVEL-B, B, train
46471, 0_3_0_ANONIEM-B, B, train
48771, 0_31_0_KERAMIEK-B, Beak_open_spread, val
2834, 0_11_0_GRAPPIG-A, A, train
2312, 0_3_0_OMDAT-B, B, train
2224, 0_16_0_DEN-HAAG-B, 5, test
946, 0_4_0_BEL, Money, train
46549, 0_3_0_VAK-B, B, train
1149, 0_12_0_KNIKKER, 1_curved, test
2711, 0_7_0_POLITIE-B, S, train
4684, 0_16_0_REGIO-C, 5, test
2777, 0_2_0_MENING-A, C_spread, train
77, 0_26_0_IDENTITEIT, I, val
2285, 0_16_0_LACHEN-G, 5, train
2265, 0_7_0_UTRECHT-B, S, train
2424, 0_16_0_LASTIG-A, 5, train
1487, 0_11_0_SCHULD, A, train
827, 0_1_0_WEL-A, 1, train
1160, 0_24_0_JOHAN-ROS, Y, test
36742, 0_24_0_TELEFOON-NEERLEGGEN, Y, test
2584, 0_1_0_MCDONALDS-A, 1, train
1609, 0_2_0_STOCKHOLM, C_spread, train
2401, 0_7_0_DOM-A, S, train
46927, 0_7_0_MOSKOU, S, train
4627, 0_4_0_AAN-DE-HAAK-SLAAN, Money, train
1392, 0_32_0_SNOEP-A, 5m, val
1911, 0_13_0_OOST-A, O, val
4632, 0_11_0_OPERATIE, A, train
1615, 0_2_0_BEZORGD, C_spread, train
47859, 0_9_0_BEVEILIGER, V, train
640, 0_8_0_NU-B, N, train
48001, 0_1_0_EXPRES-A, 1, train
766, 0_8_0_NA-A, N, train
3378, 0_8_0_STEM-E, N, train
3176, 0_19_0_RADBOUD, V_curved, val
591, 0_6_0_PROFESSIONEEL, C, train
3305, 0_7_0_DEUR-B, S, train
48805, 0_2_0_RIJK-E, C_spread, train
2811, 0_3_0_TIJD-D, B, train
2841, 0_1_0_MOETEN-A, 1, train
2245, 0_1_0_DUITSLAND-B, 1, train
1418, 0_3_0_AUTOMATISCH-C, B, train
3213, 0_9_0_DRONGO-FESTIVAL, V, train
2828, 0_1_0_BULT-A, 1, train
2746, 0_6_0_COACH-A, C, train
4605, 0_10_0_GEEN-ZIN-B, B_bent, test
48835, 0_7_0_ERNSTIG, S, train
185, 0_9_0_TRAM-A, V, train
1089, 0_1_0_BALEN-D, 1, train
536, 0_10_0_ASSEN, B_bent, test
2562, 0_11_0_OLIE-A, A, train
2678, 0_4_0_MONTEUR, Money, train
1990, 0_1_0_JELLE-KAMSTRA, 1, train
1204, 0_1_0_LUISTEREN-NIET-B, 1, train
2848, 0_7_0_BERLIJN-A, S, train
4204, 0_4_0_MAROKKO-B, Money, train
2987, 0_22_0_TELHAND, L, test
3827, 0_14_0_#T, T, train
47711, 0_32_0_LENZEN-A, 5m, val
1168, 0_3_0_ADEMEN-C, B, train
4051, 0_22_0_STEVE-LEVINSON, L, test
47062, 0_4_0_LEPEL, Money, train
4345, 0_5_0_DEVENTER-B, Baby_C, train
1543, 0_24_0_VEEL-A, Y, test
2669, 0_3_0_SPIEGEL, B, train
349, 0_6_0_BEEN-C, C, train
47527, 0_8_0_UBER, N, train
1213, 0_16_0_OVERGEVEN-A, 5, train
263, 0_9_0_HAARLEM, V, train
497, 0_1_0_ONWEER, 1, train
46928, 0_11_0_CANADA-B, A, train
945, 0_4_0_BADMINTON, Money, train
48880, 0_14_0_TESTDAL, T, train
45973, 0_19_0_NEUROLOOG, V_curved, test
2654, 0_7_0_ALTIJD-A, S, train
2119, 0_7_0_INZETTEN, S, train
1642, 0_7_0_DOEN-NIET, S, train
3159, 0_3_0_VROEGER-C, B, train
2058, 0_1_0_WAT-A, 1, train
2420, 0_5_0_PORTOFOON, Baby_C, train
46682, 0_3_0_BOLOGNA, B, train
140, 0_6_0_STIK-B, C, train
4192, 0_12_0_PROCENT-D, 1_curved, test
46977, 0_3_0_BOCHT, B, train
48748, 0_6_0_GONDELLIFT, C, train
48490, 0_9_0_HORMONEN, V, train
44125, 0_11_0_ANISSA-JANS, A, train
159, 0_32_0_ORANJE-E, 5m, val
104, 0_11_0_OUDERS-C, A, train
947, 0_3_0_BELGIE-A, B, train
45749, 0_6_0_GIRAFFE, C, train
48176, 0_1_0_SLIKKEN-B, 1, train
276, 0_20_0_PORTUGAL-A, W, test
1757, 0_5_0_DRONKEN-B, Baby_C, train
3476, 0_3_0_GAAN-NAAR-B, B, train
281, 0_16_0_JESSICA-TER-LINDEN, 5, train
2075, 0_16_0_DORDRECHT-B, 5, train
1638, 0_11_0_ZOMER-A, A, train
2659, 0_23_0_DRIEEN-A, 3, val
46636, 0_3_0_LIEFDE, B, train
102, 0_3_0_JULI-A, B, train
2703, 0_7_0_KOPJE-C, S, train
902, 0_1_0_ZEGGEN, 1, train
44370, 0_1_0_GAAN, 1, train
47596, 0_16_0_TERSCHELLING, 5, train
2941, 0_12_0_EX-B, 1_curved, test
44107, 0_4_0_JONGENS, Money, train
48218, 0_11_0_66-B, A, train
1668, 0_8_0_NIJMEGEN-B, N, train
44218, 0_2_0_OPVALLEN-C, C_spread, train
49030, 0_3_0_ACHTER-E, B, train
46686, 0_22_0_LONDEN-B, L, test
1125, 0_22_0_SCHIETEN-A, L, train
553, 0_16_0_GRAAG-C, 5, train
520, 0_14_0_VOORDEEL-A, T, train
1122, 0_20_0_ROEPEN-C, W, test
2795, 0_12_0_PROBEREN-B, 1_curved, train
2084, 0_4_0_TENNIS-A, Money, train
45965, 0_14_0_HECHTING, T, train
3379, 0_3_0_CORRIGEREN, B, train
3070, 0_3_0_DOOF-F, B, train
585, 0_14_0_PLAATS-A, T, train
47063, 0_22_0_HANDMIXER, L, train
2128, 0_1_0_VERLEGEN-B, 1, train
46913, 0_8_0_HOUSTON, N, train
4633, 0_11_0_OPERATIE, A, train
47422, 0_9_0_KERS-B, V, train
47460, 0_14_0_MINISTER-B, T, train
1724, 0_1_0_NIET-A, 1, train
3974, 0_4_0_KUNSTMATIG-B, Money, train
46306, 0_34_0_HUMMUS-A, Beak, val
4480, 0_1_0_SLAB, 1, train
1577, 0_7_0_WASSEN-B, S, train
3653, 0_12_0_OPTAKELEN, 1_curved, train
1444, 0_4_0_WINNEN-A, Money, train
1189, 0_4_0_PAN-B, Money, train
48800, 0_3_0_OMDRAAIEN, B, train
532, 0_14_0_ZUINIG-A, T, train
47873, 0_19_0_PRINTEN-C, V_curved, test
1277, 0_24_0_ALS-B, Y, test
46771, 0_34_0_JAKARTA, Beak, val
46946, 0_20_0_WINSUM, W, test
1329, 0_19_0_GRAPPIG-E, V_curved, test
582, 0_5_0_PERSOON-A, Baby_C, train
2044, 0_7_0_STRIJKEN, S, train
546, 0_3_0_DINSDAG-A, B, train
4643, 0_12_0_AANKLOPPEN-B, 1_curved, train
2716, 0_1_0_STEL-B, 1, train
2580, 0_9_0_12-D, V, train
433, 0_10_0_GEHEUGEN, B_bent, test
4228, 0_4_0_STRAND, Money, train
2757, 0_16_0_GRAAG-B, 5, train
48850, 0_10_0_RECESSIE, B_bent, test
644, 0_7_0_BEHEERSEN-A, S, train
4591, 0_11_0_IJSLAND-A, A, train
48391, 0_2_0_ZOEN-D, C_spread, train
2446, 0_23_0_3-B, 3, val
2059, 0_9_0_WC-D, V, train
2472, 0_3_0_LONG-A, B, train
46329, 0_2_0_GEMBER-B, C_spread, train
746, 0_19_0_NIJMEGEN-A, V_curved, test
4379, 0_3_0_BAAS-C, B, train
46236, 0_8_0_SPEK-B, N, train
2541, 0_16_0_LEKKER-A, 5, train
667, 0_3_0_SOLDAAT-B, B, train
1486, 0_6_0_SCHOORSTEEN, C, train
44064, 0_20_0_WOENSDAG-C, W, test
2677, 0_1_0_NOG-C, 1, train
46083, 0_4_0_VICON-SHOGUN, Money, train
47510, 0_3_0_FACEBOOK-C, B, train
610, 0_14_0_THUIS-A, T, train
1738, 0_1_0_HOREN-A, 1, train
47698, 0_2_0_SMURF, C_spread, train
2422, 0_8_0_UUR-B, N, train
47338, 0_30_0_XTC-B, Baby_beak, val
46653, 0_7_0_TAIWAN, S, train
2863, 0_25_0_ERBIJ-A, Beak_spread, val
2750, 0_1_0_ELEKTRICITEIT-A, 1, train
751, 0_29_0_COMPUTERMUIS, B_curved, val
3817, 0_26_0_#J, I, val
346, 0_1_0_KRULLEN, 1, train
760, 0_8_0_ANTWOORD-B, N, train
44079, 0_29_0_IN-G, B_curved, val
45756, 0_30_0_SPECHT, Baby_beak, val
4220, 0_8_0_HERHALEN-B, N, train
2672, 0_17_0_VIEREN, 4, val
3178, 0_12_0_VERSLAAFD-A, 1_curved, train
274, 0_1_0_PORTUGAL-B, 1, train
465, 0_12_0_STATION-A, 1_curved, train
4483, 0_11_0_WEBCAM, A, train
1321, 0_2_0_BOF, C_spread, train
1492, 0_3_0_UNIVERSITEIT-A, B, train
47115, 0_5_0_LAST-C, Baby_C, train
2786, 0_9_0_OPNIEUW, V, train
1575, 0_3_0_LACHEN-B, B, train
2418, 0_1_0_MAL, 1, train
126, 0_5_0_KUNSTGEBIT, Baby_C, train
1450, 0_6_0_CREATIEF, C, train
47424, 0_16_0_HEET-B, 5, train
1371, 0_3_0_VIA, B, train
1602, 0_7_0_REMMEN-B, S, train
2153, 0_7_0_OUD-D, S, train
48516, 0_3_0_GEHEMELTE, B, train
3408, 0_1_0_DENKEN, 1, train
46262, 0_3_0_OESTER-A, B, train
1257, 0_19_0_IMPLANTEREN, V_curved, test
4441, 0_6_0_CIJFER-B, C, train
1987, 0_4_0_ANTWERPEN, Money, train
48847, 0_7_0_KINKHOEST, S, train
939, 0_2_0_WATERPOLO, C_spread, train
1528, 0_1_0_TIJD-VLIEGT, 1, train
44143, 0_12_0_GEK-F, 1_curved, train
904, 0_5_0_PAD, Baby_C, train
45748, 0_3_0_DROMEDARIS, B, train
4661, 0_3_0_AAIEN, B, train
46381, 0_20_0_WHISKEY-B, W, train
3795, 0_3_0_HAND-OP-MOND-B, B, train
849, 0_1_0_11-C, 1, train
590, 0_14_0_PROCENT-B, T, train
912, 0_3_0_BUITEN-A, B, train
