1, OUD-B-4, 44, Baby_C, R
1, PT-1hand-3149, 4, 1, R
1, PT-1hand-3833, 4, 1, R
1, PT-1hand:1-26, 4, 1, L
1, PT-1hand-1104, 4, 1, L
1, KIJKEN-A-104, 19, V, L
1, VINDEN-B-10, 18, T, R
1, TOCH-B-14, 17, S, R
1, KUNNEN-D, 21, W, R
1, REGIO-A-5, 25, 5, R
1, PT-1hand-909, 4, 1, R
1, PT-1hand:1-1760, 4, 1, L
1, PT-1hand:1-169, 4, 1, R
1, 2-A-110, 19, V, L
1, ALS-C-3, 22, 1_curved, R
1, PT-1hand-1321, 4, 1, L
1, NORMANDIE-1, 4, 1, L
1, EIGEN-B-6, 25, 5, R
1, SIMPEL, 18, T, R
1, KLEIN-B-12, 10, I, L
1, PT-1hand:1-1005, 4, 1, L
1, PT-1hand-2454, 4, 1, L
1, PT-1hand-851, 4, 1, R
1, PIJN-A-3, 25, 5, R
1, PT-1hand-3242, 4, 1, L
1, INTERNAAT-B-12, 4, 1, R
1, PT-1hand:1-1482, 4, 1, R
1, GOED-A-7, 1, A, R
1, WAT-A-18, 4, 1, R
1, OPNEMEN-A-18, 26, Beak_open, L
1, PT-1hand-3456, 4, 1, R
1, PT-1hand-4720, 4, 1, L
1, PT-1hand:1-586, 4, 1, L
1, JA-A-340, 23, Y, R
1, VER-19, 4, 1, R
1, ROEPEN-B-15, 38, B_curved, L
1, PT-1hand:1-441, 4, 1, R
1, 100-A-8, 26, Beak_open, L
1, VINDEN-A-10, 2, B, R
1, PT-1hand-3600, 4, 1, R
1, PT-1hand:1-2223, 4, 1, R
1, NIEUWSGIERIG-3, 41, V_curved, R
1, PROBEREN-A-3, 9, N, R
1, PT-1hand-715, 4, 1, R
1, WEG-B-5, 2, B, L
1, VROEGER-A-74, 2, B, R
1, PT-1hand-1250, 4, 1, R
1, PT-1hand-1536, 4, 1, L
1, HELSINKI, 37, C_spread, L
1, PB-25, 2, B, L
1, KIJKEN-A-88, 19, V, R
1, TWEEEN-A-9, 19, V, R
1, PT-1hand:1-1618, 4, 1, L
1, INSTEKEN-C-4, 42, Beak, R
1, PT-1hand:1-39, 4, 1, L
1, PT:up-46, 4, 1, R
1, PT-1hand-4589, 4, 1, R
1, KIND-A-73, 2, B, R
1, GEWOON-A-13, 4, 1, R
1, ROEPEN-A-6, 27, B_bent, R
1, GELD-20, 36, Money, L
1, ENGELAND-A-8, 44, Baby_C, R
1, PT-1hand-4135, 4, 1, R
1, PT-1hand:1-1964, 4, 1, R
1, PT-1hand-2990, 4, 1, R
1, OOK-C-2, 4, 1, L
1, KIJKEN-A-212, 19, V, L
1, PT-1hand-3490, 4, 1, R
1, PT-1hand:1-2300, 4, 1, L
1, NIET-A-139, 4, 1, R
1, PT-1hand:1-2379, 4, 1, R
1, PT-1hand:1-2482, 4, 1, R
1, GRAPPIG-A-41, 1, A, R
1, PT-1hand:1-1238, 4, 1, L
1, DOOR-B-3, 4, 1, R
1, PT-1hand-2135, 4, 1, R
1, PT-1hand-4500, 4, 1, R
1, PT-1hand-1718, 4, 1, R
1, PT-1hand-982, 4, 1, R
1, CENTRUM-18, 37, C_spread, R
1, MEER-A-86, 4, 1, R
1, PT-1hand:1-332, 4, 1, R
1, GRAP-A-4, 1, A, R
1, PT-1hand-2502, 4, 1, R
1, EVEN-DENKEN-D-6, 2, B, R
1, NU-A-86, 4, 1, R
1, DORP-12, 44, Baby_C, L
1, PT-1hand-892, 4, 1, L
1, MEE-79, 17, S, L
1, 1-A-187, 4, 1, L
1, KIND-A-79, 2, B, L
1, PT-1hand-486, 4, 1, L
1, VROUW-A-16, 16, Baby_beak_open, R
1, PT-1hand-3730, 4, 1, R
1, CENTRUM-9, 37, C_spread, R
1, PAKKEN-B-3, 26, Beak_open, L
1, LEUK-A-3, 16, Baby_beak_open, R
1, UTRECHT-A-2, 9, N, R
1, WATER-A-33, 25, 5, L
1, OM-22, 4, 1, R
1, PT-1hand-2560, 4, 1, R
1, DAN-A-73, 4, 1, R
1, MEER-D-7, 2, B, R
1, DOOF-A-234, 4, 1, R
1, GELUIDSGOLVEN-1, 25, 5, L
1, OMDAT-A-101, 17, S, R
1, PT-1hand-2399, 4, 1, R
1, PT-1hand:1-731, 4, 1, L
1, TORNADO-A-1, 4, 1, R
1, PT-1hand-2965, 4, 1, R
1, PT-1hand-319, 4, 1, L
1, PT-1hand:1-2749, 4, 1, R
1, PT-1hand-1739, 4, 1, R
1, MOOI-A-113, 18, T, L
1, PT-1hand-4170, 4, 1, R
1, DENKEN-198, 4, 1, L
1, 1-A-219, 4, 1, L
1, PT-1hand-3912, 4, 1, L
1, 1-A-122, 4, 1, R
1, SLEUTEL-1, 36, Money, R
1, KLOPT-A-28, 11, K, R
1, PT-1hand-3017, 4, 1, L
1, KRIJGEN-A, 36, Money, R
1, PT-1hand-2441, 4, 1, R
1, VERSTAND-9, 22, 1_curved, R
1, OPNEMEN-A-52, 26, Beak_open, L
1, PB-49, 2, B, L
1, ANDERS-B-8, 23, Y, L
1, PT-1hand:1-453, 4, 1, L
1, MOETEN-A-66, 4, 1, R
1, 3-B-13, 29, 3, R
1, OMDAT-A-57, 17, S, R
1, PT-1hand-4044, 4, 1, R
1, VROEGER-A-90, 2, B, R
1, PAKKEN-A-30, 25, 5, R
1, PT-1hand-2379, 4, 1, L
1, GOED-A-209, 1, A, R
1, VINDEN-A-38, 2, B, R
1, OPSTUREN-B-7, 24, Baby_O, R
1, PT-1hand-4825, 4, 1, L
1, MOOI-A-148, 18, T, R
1, ENGELAND-A-1, 44, Baby_C, R
1, ONZIN-A-6, 41, V_curved, R
1, PT-1hand-3941, 4, 1, R
1, IDEE-9, 4, 1, R
1, REGIO-A-14, 25, 5, L
1, NU-B-25, 9, N, R
1, BEDANKEN-A-5, 2, B, R
1, PT-1hand-609, 4, 1, L
1, DENKEN-17, 4, 1, R
1, PT-1hand-3340, 4, 1, R
1, PRIKKEN-A, 18, T, R
1, 4-A-13, 30, 4, R
1, EMOTIE-A, 17, S, R
1, VINGERSPELLEN-9, 37, C_spread, R
1, PT-1hand:1-1077, 4, 1, L
1, BLOWEN, 21, W, R
1, PT-1hand:1-118, 4, 1, R
1, MOETEN-A-78, 4, 1, R
1, PT-1hand-1753, 4, 1, R
1, GAAN-48, 4, 1, R
1, KLOPT-B, 9, N, L
1, PT-1hand:1-457, 4, 1, R
1, PT-1hand-2765, 4, 1, L
1, WAT-C-7, 2, B, R
1, PT-1hand:1-1375, 4, 1, L
1, PT-1hand-2612, 4, 1, L
1, PT-1hand:1-94, 4, 1, L
1, WEG-B-9, 2, B, L
1, DING-3, 44, Baby_C, R
1, PT-1hand:1-861, 4, 1, L
1, PT-1hand-781, 4, 1, L
1, NIET-A-80, 4, 1, L
1, PT-1hand:1-837, 4, 1, R
1, DAN-A-62, 4, 1, L
1, EERST-24, 4, 1, R
1, GEWOON-A-47, 4, 1, R
1, PT-1hand:1-1497, 4, 1, L
1, DAN-A-95, 4, 1, R
1, HOP-25, 4, 1, R
1, NIET-A-200, 4, 1, L
1, SCHRIKKEN-A-6, 25, 5, R
1, MAROKKO-B, 36, Money, R
1, IDEE-34, 4, 1, R
1, GISTEREN-3, 1, A, R
1, 1-A-190, 4, 1, L
1, PT-1hand-591, 4, 1, L
1, KOPEN-B-1, 36, Money, L
1, ANDERS-B-85, 23, Y, R
1, KRACHT-83, 17, S, R
1, PT-1hand:1-496, 4, 1, L
1, PT-1hand-1840, 4, 1, L
1, OPNEMEN-A-1, 26, Beak_open, L
1, SOP-9, 4, 1, R
1, GOED-A-251, 1, A, L
1, PT-1hand-254, 4, 1, R
1, PT-1hand-1928, 4, 1, R
1, MUIS-C-2, 4, 1, R
1, PT-1hand-4719, 4, 1, R
1, PT-1hand:1-474, 4, 1, R
1, KUNNEN-A-113, 17, S, L
1, GEVEN-B-1, 2, B, R
1, DENKEN-185, 4, 1, R
1, PT-1hand-3776, 4, 1, L
1, ADEM-INHOUDEN-A-3, 26, Beak_open, R
1, HOREN-A-186, 4, 1, R
1, DENKEN-172, 4, 1, R
1, VROEGER-A-113, 2, B, R
1, START-A-1, 36, Money, R
1, GRAPPIG-E-1, 41, V_curved, R
1, JONG-A-2, 2, B, L
1, PT-1hand-1835, 4, 1, R
1, KUNNEN-A-393, 17, S, L
1, PT-1hand:1-580, 4, 1, R
1, PT-1hand-614, 4, 1, L
1, GOED-A-222, 1, A, R
1, KUNNEN-A-76, 17, S, R
1, PT-1hand:1-746, 4, 1, L
1, HOP-1, 4, 1, R
1, OPERATIE-1, 1, A, L
1, HOREN-A-198, 4, 1, R
1, KOMEN-A-81, 4, 1, R
1, LEUK-A-75, 16, Baby_beak_open, R
1, PT-1hand-3379, 4, 1, L
1, TOEVALLIG-B-2, 2, B, L
1, EIGEN-A-14, 3, C, L
1, EVEN-DENKEN-D-63, 2, B, R
1, PT-1hand-4083, 4, 1, L
1, PT-1hand:1-1150, 4, 1, L
1, MOOI-A-108, 18, T, R
1, PT-1hand:1-1068, 4, 1, R
1, DOOF-A-43, 4, 1, R
1, POES-C-20, 45, Baby_beak, L
1, OMDAT-A-14, 17, S, R
1, BETEKENEN-B-2, 19, V, L
1, SCHAAP-D-3, 19, V, R
1, PT-1hand:1-387, 4, 1, L
1, PT-1hand:1-2198, 4, 1, R
1, JA-A-266, 23, Y, R
1, PT-1hand-1463, 4, 1, L
1, STER-1, 24, Baby_O, R
1, PT-1hand:1-695, 4, 1, L
1, TOCH-B-22, 17, S, R
1, KOMEN-A-37, 4, 1, R
1, SPIJT-A-2, 37, C_spread, L
1, KUNNEN-A-300, 17, S, R
1, TEVREDEN-A-2, 18, T, L
1, PT-1hand-2874, 4, 1, R
1, GEWOON-A-77, 4, 1, R
1, PT-1hand-3784, 4, 1, R
1, OPNEMEN-A-71, 26, Beak_open, R
1, NU-A-68, 4, 1, L
1, PT-1hand:1-40, 4, 1, R
1, VAN-A-79, 2, B, R
1, PT-1hand-1498, 4, 1, R
1, ANDERS-A-45, 1, A, R
1, NU-A-46, 4, 1, R
1, VAN-B-8, 2, B, R
1, OPNEMEN-A-10, 26, Beak_open, R
1, PT-1hand-798, 4, 1, R
1, KANG-SUK-BYUN, 22, 1_curved, R
1, PT-1hand:1-940, 4, 1, R
1, PT-1hand-2724, 4, 1, L
1, PT-1hand-3037, 4, 1, R
1, PT-1hand-4205, 4, 1, L
1, MEE-64, 17, S, L
1, PT-Bhand:1-8, 2, B, L
1, SMURF, 37, C_spread, R
1, MAN-A-55, 26, Beak_open, L
1, PT-1hand:1-967, 4, 1, L
1, NIET-A-166, 4, 1, R
1, DOOF-B-118, 9, N, L
1, CI-A-37, 41, V_curved, R
1, PAKKEN-A-6, 25, 5, R
1, KLEIN-A-1, 1, A, R
1, HOREN-A-167, 4, 1, L
1, 1-A-232, 4, 1, R
1, VAN-A-46, 2, B, R
1, PAS-B-8, 36, Money, R
1, GEVEN-C-5, 42, Beak, R
1, PT-1hand-4408, 4, 1, L
1, LAATSTE-A-1, 2, B, L
1, ANDERS-A-10, 1, A, L
1, PT-1hand-1633, 4, 1, L
1, ALLEEN-B-17, 4, 1, L
1, OVERGANG-1, 2, B, L
1, PT-1hand-382, 4, 1, L
1, OOG-3, 4, 1, R
1, GENOEG-1, 27, B_bent, L
1, BESTAAN-D-1, 21, W, R
1, STEL-A-18, 2, B, R
1, PT-1hand-4265, 4, 1, L
1, 1-A-203, 4, 1, R
1, KIJKEN-A-187, 19, V, L
1, BALEN-B-3, 37, C_spread, R
1, 18-A, 21, W, R
1, NIET-A-164, 4, 1, R
1, PT-1hand-1208, 4, 1, R
1, PT-1hand-876, 4, 1, L
1, MEER-C-1, 18, T, R
1, SLURF-1, 3, C, R
1, TOT-B-4, 4, 1, R
1, ECHT-B-34, 9, N, R
1, PT-1hand:1-1476, 4, 1, L
1, GAAN-44, 4, 1, R
1, BIJ-D, 25, 5, R
1, VRAAGTEKEN-4, 4, 1, R
1, PT-1hand-477, 4, 1, R
1, KUNNEN-A-214, 17, S, L
1, KLEIN-B-17, 10, I, R
1, TOREN, 3, C, L
1, PT-1hand-2935, 4, 1, R
1, DOOF-C-67, 4, 1, R
1, PT-1hand:1-883, 4, 1, R
1, PT-1hand:1-683, 4, 1, R
1, LEEGHOOFD-A, 18, T, R
1, ALS-C-20, 22, 1_curved, R
1, GOED-A-28, 1, A, R
1, UITHOREN-3, 2, B, R
1, PT-1hand-1573, 4, 1, L
1, PT-1hand-539, 4, 1, L
1, PT-1hand:1-2570, 4, 1, L
1, PT-1hand-2394, 4, 1, R
1, NIET-A-64, 4, 1, R
1, INTERESSANT-7, 22, 1_curved, R
1, PRATEN-A-14, 26, Beak_open, R
1, PT-1hand-4767, 4, 1, L
1, VER-7, 4, 1, L
1, KOMEN-A-89, 4, 1, R
1, PT-1hand-4359, 4, 1, R
1, PT-1hand-3427, 4, 1, L
1, KLEIN-B-48, 10, I, L
1, AAN-JOU-47, 2, B, L
1, PT-1hand:1-2449, 4, 1, R
1, PT-1hand-426, 4, 1, R
1, UBER-1, 9, N, R
1, HEBBEN-A-56, 2, B, L
1, SCHOOL-A-33, 18, T, R
1, IJS-B-1, 2, B, L
1, PT-1hand-2856, 4, 1, L
1, 2-B, 12, L, R
1, VROEG-A, 36, Money, R
1, EERST-39, 4, 1, R
1, SENSEO-A-18, 41, V_curved, R
1, PT-1hand:1-1703, 4, 1, R
1, LACHEN-B-4, 2, B, R
1, PT:up-74, 4, 1, L
1, BIJ-A-69, 26, Beak_open, L
1, PT-1hand:1-855, 4, 1, R
1, PT-1hand-966, 4, 1, R
1, PT-1hand-2067, 4, 1, L
1, HOREN-A-33, 4, 1, R
1, PT-1hand-2130, 4, 1, L
1, PT-1hand-3469, 4, 1, R
1, PT-1hand-2094, 4, 1, R
1, DOOF-B-144, 9, N, R
1, RIVIER-A, 44, Baby_C, R
1, WATER-A-21, 25, 5, R
1, KLEIN-B-32, 10, I, R
1, PT-1hand-4443, 4, 1, R
1, PT-1hand-4634, 4, 1, L
1, PT-1hand-2485, 4, 1, R
1, MISSELIJK-1, 25, 5, L
1, GRONINGEN-52, 37, C_spread, L
1, MAN-A-34, 26, Beak_open, R
1, HOUDEN-VAN-6, 2, B, L
1, DAN-A-53, 4, 1, R
1, PT:up-70, 4, 1, L
1, PT-1hand-1431, 4, 1, L
1, PT-1hand-1811, 4, 1, R
1, MOETEN-A-49, 4, 1, L
1, PT-1hand:1-802, 4, 1, L
1, PT-1hand-3467, 4, 1, L
1, KOPEN-A-4, 36, Money, R
1, EIGEN-A-16, 3, C, R
1, DOOF-C-68, 4, 1, R
1, SPIDER-MAN-A, 43, 5m, R
1, PT:down-60, 4, 1, R
1, PT-1hand-4266, 4, 1, R
1, PT-1hand-213, 4, 1, R
1, LIEF-A-6, 27, B_bent, L
1, PT-1hand-3280, 4, 1, L
1, PT-1hand-2962, 4, 1, R
1, PT-1hand-4624, 4, 1, L
1, PT-1hand:1-108, 4, 1, R
1, PT-1hand-3934, 4, 1, R
1, MEE-3, 17, S, L
1, SCHRIJVEN-C-6, 24, Baby_O, L
1, VINDEN-A-44, 2, B, R
1, PT-1hand:1-2360, 4, 1, R
1, HOREN-A-179, 4, 1, L
1, PT-1hand-962, 4, 1, R
1, MOGEN-B-7, 25, 5, R
1, DOOF-A-140, 4, 1, L
1, PT-1hand-4822, 4, 1, L
1, FRANKRIJK-D-1, 18, T, L
1, DAN-A-135, 4, 1, R
1, BEETJE-5, 36, Money, R
1, BIJ-A-31, 26, Beak_open, L
1, SCHOOL-A-45, 18, T, R
1, PT-1hand-132, 4, 1, L
1, PT-1hand-3273, 4, 1, R
1, WAT-B-46, 1, A, R
1, PT-1hand-1166, 4, 1, R
1, KIJKEN-A-185, 19, V, R
1, TOCH-B-5, 17, S, R
1, PT-1hand:1-1861, 4, 1, R
1, PT-1hand-4944, 4, 1, L
1, NIET-A-37, 4, 1, R
1, PT-1hand-1410, 4, 1, R
1, PT-1hand:1-451, 4, 1, L
1, GOED-A-204, 1, A, R
1, PT-1hand-2132, 4, 1, L
1, DOOF-B-42, 9, N, R
1, GAAN-82, 4, 1, R
1, ANDERS-A-57, 1, A, R
1, PT-1hand-1077, 4, 1, L
1, GROETEN-1, 2, B, R
1, PT-1hand:1-1873, 4, 1, L
1, NU-A-120, 4, 1, R
1, PT-1hand-2113, 4, 1, R
1, PT-1hand-3422, 4, 1, R
1, PT-1hand-5070, 4, 1, L
1, PT-1hand-2098, 4, 1, L
1, PT-1hand-2036, 4, 1, R
1, NIEUW-B-5, 23, Y, R
1, KIND-A-36, 2, B, R
1, PT-1hand-875, 4, 1, L
1, DOOF-A-129, 4, 1, L
1, PT-1hand-219, 4, 1, R
1, BIJ-A-6, 26, Beak_open, R
1, PT-1hand:1-1632, 4, 1, L
1, HOP-35, 4, 1, R
1, GEWOON-A, 4, 1, R
1, PT-1hand-1034, 4, 1, L
1, PT-1hand-85, 4, 1, L
1, TELHAND-15, 17, S, R
1, GOED-A-202, 1, A, L
1, MEE-62, 17, S, L
1, VINGERSPELLEN-22, 37, C_spread, L
1, PROBEREN-A-29, 9, N, R
1, RECHTER-2, 36, Money, R
1, NU-A-1, 4, 1, L
1, PRATEN-A-103, 26, Beak_open, R
1, KLEIN-B-60, 10, I, R
1, PT-arc-11, 4, 1, L
1, MAANDAG-B-1, 13, M, L
1, PT-1hand-991, 4, 1, R
1, PT-1hand:1-826, 4, 1, R
1, KOMEN-A-53, 4, 1, R
1, LUI-6, 59, 5r, R
1, PT-1hand-2358, 4, 1, R
1, PT-1hand:1-2095, 4, 1, R
1, EERST-23, 4, 1, R
1, ALS-B-11, 23, Y, R
1, MOOI-A-75, 18, T, L
1, DAN-A-93, 4, 1, R
1, PT-1hand-2540, 4, 1, R
1, HOREN-A-57, 4, 1, R
1, SLAAN-A-3, 36, Money, R
1, PT-1hand-431, 4, 1, L
1, GRAAG-A-12, 25, 5, R
1, PT-1hand:1-1218, 4, 1, L
1, PT-1hand-2084, 4, 1, R
1, KIJKEN-A-69, 19, V, R
1, PT-1hand-2846, 4, 1, R
1, DENKEN-169, 4, 1, R
1, LEUK-A-38, 16, Baby_beak_open, L
1, NIET-A-223, 4, 1, R
1, DOOF-A-33, 4, 1, R
1, REGIO-A-2, 25, 5, L
1, ANDERS-B-41, 23, Y, R
1, DOOD-A-8, 27, B_bent, R
1, PT-1hand-2263, 4, 1, R
1, PT-1hand:1-208, 4, 1, L
1, PT-1hand-1442, 4, 1, L
1, KOMEN-B-16, 2, B, R
1, PT-1hand-4312, 4, 1, R
1, HALT-6, 2, B, L
1, PT:up-25, 4, 1, L
1, PT-1hand:1-318, 4, 1, L
1, PT-1hand-4673, 4, 1, R
1, PT-1hand-1550, 4, 1, L
1, DENKEN-64, 4, 1, L
1, PT-1hand:1-429, 4, 1, L
1, DENKEN-30, 4, 1, R
1, ADAM-SCHEMBRI, 39, Beak_open_spread, L
1, PT-1hand:1-2680, 4, 1, R
1, AAP-11, 27, B_bent, L
1, GEK-B-3, 3, C, L
1, ROEPEN-A-40, 27, B_bent, L
1, PT-1hand-4141, 4, 1, R
1, PT-1hand-4889, 4, 1, R
1, PT-1hand-1969, 4, 1, L
1, GOED-A-118, 1, A, R
1, BUITEN-B-2, 2, B, L
1, EVEN-DENKEN-D-44, 2, B, R
1, PT-1hand-3279, 4, 1, L
1, PT-1hand:1-2032, 4, 1, R
1, CLUB-A-4, 37, C_spread, R
1, IN-C-3, 42, Beak, R
1, PT-1hand-2017, 4, 1, L
1, ROEPEN-A-11, 27, B_bent, L
1, KRACHT-33, 17, S, R
1, PT-1hand-3096, 4, 1, R
1, VROEGER-A-46, 2, B, L
1, BUITEN-C-1, 18, T, R
1, GOED-A-73, 1, A, L
1, PT-1hand:1-730, 4, 1, R
1, PT-1hand:1-1599, 4, 1, L
1, 5-12, 25, 5, R
1, PT-1hand-4455, 4, 1, L
1, PAKKEN-A-1, 25, 5, R
1, VAN-B-1, 2, B, R
1, VROEGER-A-58, 2, B, R
1, PT-1hand:1-2751, 4, 1, L
1, ANDERS-B-76, 23, Y, R
1, PT-1hand-2769, 4, 1, L
1, IN-C-6, 42, Beak, R
1, KLOPT-A-52, 11, K, R
1, MIS-A-13, 1, A, R
1, KIJKEN-A-200, 19, V, R
1, EIGEN-A-17, 3, C, L
1, PT-1hand-487, 4, 1, L
1, NOVEMBER-B, 9, N, R
1, DENKEN-108, 4, 1, L
1, PERSOONLIJK-11, 44, Baby_C, L
1, PT-1hand-3218, 4, 1, L
1, PB-9, 2, B, R
1, PT:down-76, 4, 1, R
1, MOOI-B-1, 14, O, R
1, PT-1hand-3372, 4, 1, L
1, GEEN-ZIN-B, 27, B_bent, R
1, PT-1hand:1-1346, 4, 1, L
1, PT-1hand-2537, 4, 1, R
1, DOOF-A-46, 4, 1, L
1, KIJKEN-A-161, 19, V, R
1, PT-1hand-4159, 4, 1, R
1, PT-1hand-1770, 4, 1, R
1, OMDAT-A-5, 17, S, R
1, KRIJGEN-B-2, 2, B, L
1, PT-1hand-1217, 4, 1, R
1, DENKEN-117, 4, 1, R
1, WAT-C-3, 2, B, L
1, NU-A-35, 4, 1, R
1, 0-A-3, 14, O, L
1, VARKEN, 3, C, L
1, PROBEREN-A-11, 9, N, R
1, PT-1hand-3895, 4, 1, R
1, VAN-A-80, 2, B, R
1, VAN-A-24, 2, B, R
1, GOED-A-283, 1, A, R
1, UUR-HALF-1, 4, 1, R
1, #O-1, 14, O, R
1, PT-1hand-1747, 4, 1, R
1, ELEKTRICITEIT-A-9, 4, 1, R
1, GOED-A-371, 1, A, R
1, ALLEEN-B-14, 4, 1, L
1, DAN-B-6, 27, B_bent, L
1, VINDEN-B-16, 18, T, L
1, MENS-73, 27, B_bent, R
1, PT-1hand-98, 4, 1, R
1, PT-1hand-3436, 4, 1, R
1, GOED-A-278, 1, A, R
1, PT-1hand-896, 4, 1, R
1, BIJ-A-19, 26, Beak_open, R
1, TELHAND-12, 17, S, L
1, KUNNEN-A-242, 17, S, L
1, HOREN-A-69, 4, 1, R
1, ONDERWERP-A-3, 44, Baby_C, R
1, NIET-A-89, 4, 1, R
1, ERG-A-7, 18, T, L
1, ERG-A-22, 18, T, R
1, PT-1hand-2362, 4, 1, L
1, SPIEGEL-1, 2, B, L
1, PT-1hand-2568, 4, 1, R
1, AAP-3, 27, B_bent, L
1, PT-1hand-4919, 4, 1, L
1, KUNNEN-A-316, 17, S, L
1, OOK-A-97, 2, B, R
1, VINGERSPELLEN-21, 37, C_spread, R
1, REGIO-A-33, 25, 5, R
1, SCHILDEREN-A-3, 36, Money, L
1, PT-1hand-2603, 4, 1, L
1, PT-1hand-641, 4, 1, L
1, BEDOELEN-58, 4, 1, R
1, PT-1hand:1-2081, 4, 1, L
1, MEE-59, 17, S, R
1, PT-1hand:1-1894, 4, 1, L
1, PT-1hand:1-1965, 4, 1, R
1, PT-1hand:1-2391, 4, 1, L
1, SCHILDEREN-A-5, 36, Money, L
1, VLEES-A-6, 22, 1_curved, R
1, BANG-A, 4, 1, R
1, ECHT-B-10, 9, N, R
1, KRACHT-10, 17, S, R
1, VROEGER-A-70, 2, B, R
1, KOMEN-C-5, 2, B, L
1, OPSTUREN-B-2, 24, Baby_O, R
1, PT-1hand-1686, 4, 1, L
1, KIJKEN-A-57, 19, V, R
1, PT-1hand:1-419, 4, 1, R
1, DOOD-A, 27, B_bent, L
1, PT-1hand-2384, 4, 1, R
1, SCHRIKKEN-A, 25, 5, L
1, TERUG-A, 18, T, R
