2a, OBJECTIEF-1, 41, V_curved, L
2a, REGELS-C-2, 2, B, L
2a, REGELS-C-2, 4, 1, R
2a, PT:duim-22, 4, 1, L
2a, PT:duim-22, 4, 1, R
2a, HAVANA-1, 9, N, L
2a, HAVANA-1, 9, N, R
2a, KOMPAS-1, 4, 1, L
2a, KOMPAS-1, 2, B, R
2a, PT:wijs-51, 4, 1, L
2a, PT:wijs-51, 4, 1, R
2a, KAARTEN-A-1, 3, C, L
2a, KAARTEN-A-1, 3, C, R
2a, SCHILDPAD-A-29, 38, B_curved, L
2a, SCHILDPAD-A-29, 1, A, R
2a, SCHILDPAD-A-57, 38, B_curved, L
2a, SCHILDPAD-A-57, 1, A, R
2a, SCHILDPAD-A-47, 38, B_curved, L
2a, SCHILDPAD-A-47, 1, A, R
2a, GEBAK, 2, B, L
2a, GEBAK, 37, C_spread, R
2a, POLITIEK-A-3, 2, B, L
2a, POLITIEK-A-3, 19, V, R
2a, UITEN-B, 37, C_spread, L
2a, UITEN-B, 2, B, R
2a, BADSLIPPER, 44, Baby_C, L
2a, BADSLIPPER, 2, B, R
2a, CHAMPIGNON-C, 2, B, L
2a, CHAMPIGNON-C, 1, A, R
2a, DWINGEN, 2, B, L
2a, DWINGEN, 36, Money, R
2a, VOETBALLEN-B-19, 19, V, L
2a, VOETBALLEN-B-19, 2, B, R
2a, SCHRIJVEN-B-8, 2, B, L
2a, SCHRIJVEN-B-8, 18, T, R
2a, MODERN-C, 2, B, L
2a, MODERN-C, 2, B, R
2a, BIJ-C-7, 26, Beak_open, L
2a, BIJ-C-7, 2, B, R
2a, HARD-B-3, 2, B, L
2a, HARD-B-3, 22, 1_curved, R
2a, ENZOVOORTS-C-12, 30, 4, L
2a, ENZOVOORTS-C-12, 25, 5, R
2a, PT:mid-22, 4, 1, L
2a, PT:mid-22, 4, 1, R
2a, STAGE, 2, B, L
2a, STAGE, 41, V_curved, R
2a, OVER-A-7, 2, B, L
2a, OVER-A-7, 38, B_curved, R
2a, JOYSTICK-1, 2, B, L
2a, JOYSTICK-1, 17, S, R
2a, STRAF-A-1, 2, B, L
2a, STRAF-A-1, 36, Money, R
2a, EDE-1, 2, B, L
2a, EDE-1, 1, A, R
2a, MSN-B-2, 2, B, L
2a, MSN-B-2, 2, B, R
2a, COACH-B-6, 2, B, L
2a, COACH-B-6, 2, B, R
2a, SOLLICITEREN, 2, B, L
2a, SOLLICITEREN, 18, T, R
2a, PT:wijs-5, 4, 1, L
2a, PT:wijs-5, 4, 1, R
2a, LEIDEN, 2, B, L
2a, LEIDEN, 36, Money, R
2a, PT:wijs-41, 4, 1, L
2a, PT:wijs-41, 4, 1, R
2a, ENZOVOORTS-A-26, 4, 1, L
2a, ENZOVOORTS-A-26, 4, 1, R
2a, VERHEUGEN-2, 17, S, L
2a, VERHEUGEN-2, 23, Y, R
2a, TWEETALIG-10, 19, V, L
2a, TWEETALIG-10, 19, V, R
2a, DOCUMENT, 2, B, L
2a, DOCUMENT, 2, B, R
2a, OPVALLEN-D-1, 3, C, L
2a, OPVALLEN-D-1, 3, C, R
2a, HONING-C, 3, C, L
2a, HONING-C, 9, N, R
2a, GEBRUIKEN-A-21, 2, B, L
2a, GEBRUIKEN-A-21, 9, N, R
2a, VANUIT-1, 2, B, L
2a, VANUIT-1, 4, 1, R
2a, LAATSTE-B-5, 2, B, L
2a, LAATSTE-B-5, 23, Y, R
2a, LINKEDIN-A-1, 2, B, L
2a, LINKEDIN-A-1, 12, L, R
2a, GUATEMALA-1, 21, W, L
2a, GUATEMALA-1, 17, S, R
2a, BIJ-C-3, 2, B, L
2a, BIJ-C-3, 2, B, R
2a, PT:mid-24, 4, 1, L
2a, PT:mid-24, 4, 1, R
2a, AFSCHEIDEN-A, 37, C_spread, L
2a, AFSCHEIDEN-A, 37, C_spread, R
2a, OVER-A-10, 2, B, L
2a, OVER-A-10, 38, B_curved, R
2a, PT:wijs-58, 4, 1, L
2a, PT:wijs-58, 4, 1, R
2a, PT:wijs-70, 4, 1, L
2a, PT:wijs-70, 4, 1, R
2a, VOETBALLEN-B-5, 2, B, L
2a, VOETBALLEN-B-5, 19, V, R
2a, SCHRIJVEN-D-44, 2, B, L
2a, SCHRIJVEN-D-44, 24, Baby_O, R
2a, DIEP-A, 3, C, L
2a, DIEP-A, 4, 1, R
2a, BLIKOPENER, 22, 1_curved, L
2a, BLIKOPENER, 3, C, R
2a, BRIEF-A-3, 2, B, L
2a, BRIEF-A-3, 1, A, R
2a, BESLUITEN-C-4, 2, B, L
2a, BESLUITEN-C-4, 2, B, R
2a, BIER-B-8, 41, V_curved, L
2a, BIER-B-8, 41, V_curved, R
2a, ENZOVOORTS-A-13, 4, 1, L
2a, ENZOVOORTS-A-13, 4, 1, R
2a, KLOK-C-1, 17, S, L
2a, KLOK-C-1, 4, 1, R
2a, SENSEO-F-5, 3, C, L
2a, SENSEO-F-5, 41, V_curved, R
2a, GEBRUIKEN-C-9, 2, B, L
2a, GEBRUIKEN-C-9, 4, 1, R
2a, RASP, 2, B, L
2a, RASP, 2, B, R
2a, PT:duim-9, 4, 1, L
2a, PT:duim-9, 4, 1, R
2a, BANAAN-A-1, 36, Money, L
2a, BANAAN-A-1, 36, Money, R
2a, DRAAIORGEL-13, 3, C, L
2a, DRAAIORGEL-13, 17, S, R
2a, SMOOTHIE-B-1, 3, C, L
2a, SMOOTHIE-B-1, 4, 1, R
2a, ENZOVOORTS-A-31, 30, 4, L
2a, ENZOVOORTS-A-31, 4, 1, R
2a, 8-B-6, 25, 5, L
2a, 8-B-6, 21, W, R
2a, PT:wijs-38, 4, 1, L
2a, PT:wijs-38, 4, 1, R
2a, PT:ring-25, 25, 5, L
2a, PT:ring-25, 4, 1, R
2a, PT:mid-3, 4, 1, L
2a, PT:mid-3, 4, 1, R
2a, HOEFT-NIET-B, 2, B, L
2a, HOEFT-NIET-B, 2, B, R
2a, ERBIJ-HOREN, 4, 1, L
2a, ERBIJ-HOREN, 3, C, R
2a, 8-B-4, 25, 5, L
2a, 8-B-4, 25, 5, R
2a, COACH-B-5, 2, B, L
2a, COACH-B-5, 2, B, R
2a, VERBAASD-C-1, 2, B, L
2a, VERBAASD-C-1, 38, B_curved, R
2a, LAATSTE-B-13, 2, B, L
2a, LAATSTE-B-13, 23, Y, R
2a, ENZOVOORTS-A-17, 30, 4, L
2a, ENZOVOORTS-A-17, 4, 1, R
2a, BRAILLE-B-1, 2, B, L
2a, BRAILLE-B-1, 25, 5, R
2a, FILMEN-C-1, 3, C, L
2a, FILMEN-C-1, 3, C, R
2a, ENZOVOORTS-C-2, 25, 5, L
2a, ENZOVOORTS-C-2, 25, 5, R
2a, STEMPEL, 17, S, L
2a, STEMPEL, 2, B, R
2a, BIER-B-1, 3, C, L
2a, BIER-B-1, 41, V_curved, R
2a, DICHT-E, 2, B, L
2a, DICHT-E, 17, S, R
2a, NMG-9, 2, B, L
2a, NMG-9, 17, S, R
2a, BESTEMPELEN-B-2, 2, B, L
2a, BESTEMPELEN-B-2, 17, S, R
2a, HOMO-B-2, 2, B, L
2a, HOMO-B-2, 1, A, R
2a, SEVEN-UP-B, 12, L, L
2a, SEVEN-UP-B, 25, 5, R
2a, PT:mid-32, 4, 1, L
2a, PT:mid-32, 4, 1, R
2a, SCHILDPAD-A-20, 1, A, L
2a, SCHILDPAD-A-20, 1, A, R
2a, OVER-A-20, 38, B_curved, L
2a, OVER-A-20, 38, B_curved, R
2a, NAAM-B-2, 44, Baby_C, L
2a, NAAM-B-2, 44, Baby_C, R
2a, BUENOS-AIRES, 4, 1, L
2a, BUENOS-AIRES, 2, B, R
2a, KAARTEN-A-2, 3, C, L
2a, KAARTEN-A-2, 3, C, R
2a, OVER-A-19, 38, B_curved, L
2a, OVER-A-19, 2, B, R
2a, NMG-2, 2, B, L
2a, NMG-2, 17, S, R
2a, GUATEMALA, 21, W, L
2a, GUATEMALA, 17, S, R
2a, BESLUITEN-E, 2, B, L
2a, BESLUITEN-E, 2, B, R
2a, KAARTEN-B, 26, Beak_open, L
2a, KAARTEN-B, 2, B, R
2a, DRAAIORGEL-10, 17, S, L
2a, DRAAIORGEL-10, 3, C, R
2a, VOETBALLEN-B-7, 2, B, L
2a, VOETBALLEN-B-7, 19, V, R
2a, BOOM-A, 25, 5, L
2a, BOOM-A, 25, 5, R
2a, PT:wijs-53, 4, 1, L
2a, PT:wijs-53, 4, 1, R
2a, ONTWERPEN-1, 2, B, L
2a, ONTWERPEN-1, 36, Money, R
2a, SCHILDPAD-A-53, 1, A, L
2a, SCHILDPAD-A-53, 38, B_curved, R
2a, CAFE-A-2, 3, C, L
2a, CAFE-A-2, 17, S, R
2a, YOGHURT-A-1, 23, Y, L
2a, YOGHURT-A-1, 3, C, R
2a, ONTWERPEN, 2, B, L
2a, ONTWERPEN, 36, Money, R
2a, COACH-B, 27, B_bent, L
2a, COACH-B, 2, B, R
2a, JARIG-A-4, 2, B, L
2a, JARIG-A-4, 26, Beak_open, R
2a, DRAAIORGEL-4, 3, C, L
2a, DRAAIORGEL-4, 17, S, R
2a, PT:wijs-7, 4, 1, L
2a, PT:wijs-7, 4, 1, R
2a, BIER-B-7, 41, V_curved, L
2a, BIER-B-7, 41, V_curved, R
2a, ENZOVOORTS-A-28, 30, 4, L
2a, ENZOVOORTS-A-28, 30, 4, R
2a, DIEP-B, 2, B, L
2a, DIEP-B, 2, B, R
2a, OVER-A-30, 38, B_curved, L
2a, OVER-A-30, 38, B_curved, R
2a, ONDERSTEUNEN-A, 2, B, L
2a, ONDERSTEUNEN-A, 17, S, R
2a, JARIG-A, 2, B, L
2a, JARIG-A, 2, B, R
2a, NAAM-D-3, 2, B, L
2a, NAAM-D-3, 18, T, R
2a, ABSEILEN-A, 2, B, L
2a, ABSEILEN-A, 41, V_curved, R
2a, CAFE-A, 3, C, L
2a, CAFE-A, 17, S, R
2a, SCHILDPAD-A-42, 1, A, L
2a, SCHILDPAD-A-42, 1, A, R
2a, PT:mid-50, 4, 1, L
2a, PT:mid-50, 4, 1, R
2a, CHAMPIGNON-B, 2, B, L
2a, CHAMPIGNON-B, 1, A, R
2a, PT:wijs-57, 4, 1, L
2a, PT:wijs-57, 4, 1, R
2a, SCHRIJVEN-B-15, 2, B, L
2a, SCHRIJVEN-B-15, 18, T, R
2a, BIER-B-11, 41, V_curved, L
2a, BIER-B-11, 41, V_curved, R
2a, PT:ring-15, 25, 5, L
2a, PT:ring-15, 4, 1, R
2a, SCHILDPAD-A-18, 38, B_curved, L
2a, SCHILDPAD-A-18, 1, A, R
2a, PT:wijs-43, 4, 1, L
2a, PT:wijs-43, 4, 1, R
2a, TESSA-HELDENS, 2, B, L
2a, TESSA-HELDENS, 18, T, R
2a, PT:wijs-10, 4, 1, L
2a, PT:wijs-10, 4, 1, R
2a, STRAF-A, 2, B, L
2a, STRAF-A, 36, Money, R
2a, LINKEDIN-A, 2, B, L
2a, LINKEDIN-A, 12, L, R
2a, LIJST-A, 2, B, L
2a, LIJST-A, 44, Baby_C, R
2a, CONTRACT-A-2, 2, B, L
2a, CONTRACT-A-2, 9, N, R
2a, PT:duim-10, 4, 1, L
2a, PT:duim-10, 4, 1, R
2a, 8-B-9, 25, 5, L
2a, 8-B-9, 21, W, R
2a, BOETE-A, 36, Money, L
2a, BOETE-A, 2, B, R
2a, METRO-A, 2, B, L
2a, METRO-A, 23, Y, R
2a, IN-E-9, 3, C, L
2a, IN-E-9, 4, 1, R
2a, CULTUUR-B, 3, C, L
2a, CULTUUR-B, 4, 1, R
2a, SRI-LANKA-A, 4, 1, L
2a, SRI-LANKA-A, 2, B, R
2a, ENZOVOORTS-A-19, 4, 1, L
2a, ENZOVOORTS-A-19, 4, 1, R
2a, BOTER-A-1, 9, N, L
2a, BOTER-A-1, 9, N, R
2a, ENZOVOORTS-A-16, 30, 4, L
2a, ENZOVOORTS-A-16, 4, 1, R
2a, SCHILDPAD-A-34, 38, B_curved, L
2a, SCHILDPAD-A-34, 1, A, R
2a, ENZOVOORTS-A-18, 4, 1, L
2a, ENZOVOORTS-A-18, 4, 1, R
2a, PT:wijs-35, 4, 1, L
2a, PT:wijs-35, 4, 1, R
2a, SCHRIJVEN-B-4, 2, B, L
2a, SCHRIJVEN-B-4, 18, T, R
2a, BIER-A-9, 3, C, L
2a, BIER-A-9, 17, S, R
2a, WISKUNDE-B-1, 2, B, L
2a, WISKUNDE-B-1, 21, W, R
2a, TURKIJE-B, 44, Baby_C, L
2a, TURKIJE-B, 2, B, R
2a, SCHRIJVEN-D, 2, B, L
2a, SCHRIJVEN-D, 24, Baby_O, R
2a, GEBRUIKEN-C-5, 2, B, L
2a, GEBRUIKEN-C-5, 4, 1, R
2a, NEGATIEF-B, 4, 1, L
2a, NEGATIEF-B, 4, 1, R
2a, PT:duim-7, 4, 1, L
2a, PT:duim-7, 4, 1, R
2a, ENSCHEDE, 2, B, L
2a, ENSCHEDE, 37, C_spread, R
2a, TEKST-A-1, 2, B, L
2a, TEKST-A-1, 2, B, R
2a, TWEETALIG-11, 14, O, L
2a, TWEETALIG-11, 14, O, R
2a, SCHILDPAD-A-58, 38, B_curved, L
2a, SCHILDPAD-A-58, 1, A, R
2a, GEBRUIKEN-A-13, 2, B, L
2a, GEBRUIKEN-A-13, 9, N, R
2a, COACH-B-4, 2, B, L
2a, COACH-B-4, 2, B, R
2a, HELEEN-BOS, 2, B, L
2a, HELEEN-BOS, 9, N, R
2a, PT:ring-26, 25, 5, L
2a, PT:ring-26, 4, 1, R
2a, VOETBALLEN-B-6, 2, B, L
2a, VOETBALLEN-B-6, 19, V, R
2a, MSN-B-3, 2, B, L
2a, MSN-B-3, 2, B, R
2a, GEBRUIKEN-A-27, 2, B, L
2a, GEBRUIKEN-A-27, 9, N, R
2a, BIER-A-6, 3, C, L
2a, BIER-A-6, 17, S, R
2a, HONING-B, 3, C, L
2a, HONING-B, 36, Money, R
2a, BOOM-A-4, 25, 5, L
2a, BOOM-A-4, 25, 5, R
2a, ERFELIJK-D-1, 2, B, L
2a, ERFELIJK-D-1, 2, B, R
2a, AMSTEL-B-3, 3, C, L
2a, AMSTEL-B-3, 30, 4, R
2a, BEKEURING, 2, B, L
2a, BEKEURING, 1, A, R
2a, IN-E-2, 4, 1, L
2a, IN-E-2, 4, 1, R
2a, PT:wijs-47, 4, 1, L
2a, PT:wijs-47, 4, 1, R
2a, BLIKJE-D, 22, 1_curved, L
2a, BLIKJE-D, 3, C, R
2a, NMG-8, 2, B, L
2a, NMG-8, 2, B, R
2a, PT:duim-19, 4, 1, L
2a, PT:duim-19, 4, 1, R
2a, SYRIE-A, 2, B, L
2a, SYRIE-A, 19, V, R
2a, EENZAAM, 3, C, L
2a, EENZAAM, 3, C, R
2a, GEBRUIKEN-A-20, 2, B, L
2a, GEBRUIKEN-A-20, 9, N, R
2a, CONTRACT-A-1, 2, B, L
2a, CONTRACT-A-1, 9, N, R
2a, BIJ-C-5, 2, B, L
2a, BIJ-C-5, 2, B, R
2a, PT:wijs-42, 4, 1, L
2a, PT:wijs-42, 4, 1, R
2a, ONGELUK-B-1, 25, 5, L
2a, ONGELUK-B-1, 17, S, R
2a, AANSLUITEN-2, 14, O, L
2a, AANSLUITEN-2, 22, 1_curved, R
2a, VOETBALLEN-D, 17, S, L
2a, VOETBALLEN-D, 2, B, R
2a, 77-A, 25, 5, L
2a, 77-A, 12, L, R
2a, AF-A-6, 2, B, L
2a, AF-A-6, 2, B, R
2a, PT:duim-1, 25, 5, L
2a, PT:duim-1, 4, 1, R
2a, GEBRUIKEN-A-8, 2, B, L
2a, GEBRUIKEN-A-8, 9, N, R
2a, VLEES-C-3, 25, 5, L
2a, VLEES-C-3, 18, T, R
2a, BANAAN-A-6, 17, S, L
2a, BANAAN-A-6, 36, Money, R
2a, WISKUNDE-A, 2, B, L
2a, WISKUNDE-A, 21, W, R
2a, SCHRIJVEN-D-25, 2, B, L
2a, SCHRIJVEN-D-25, 24, Baby_O, R
2a, PT:wijs-55, 4, 1, L
2a, PT:wijs-55, 4, 1, R
2a, VERDOMME-C-1, 2, B, L
2a, VERDOMME-C-1, 2, B, R
2a, DRAAIORGEL-5, 3, C, L
2a, DRAAIORGEL-5, 17, S, R
2a, BESTEMPELEN-B-5, 2, B, L
2a, BESTEMPELEN-B-5, 17, S, R
2a, PT:wijs-65, 4, 1, L
2a, PT:wijs-65, 4, 1, R
2a, HUMMUS-B, 2, B, L
2a, HUMMUS-B, 42, Beak, R
2a, GEBRUIKEN-A-25, 2, B, L
2a, GEBRUIKEN-A-25, 2, B, R
2a, PT:mid-29, 4, 1, L
2a, PT:mid-29, 4, 1, R
2a, YOUTUBE-A, 3, C, L
2a, YOUTUBE-A, 23, Y, R
2a, SENSEO-G-1, 3, C, L
2a, SENSEO-G-1, 41, V_curved, R
2a, TIJD-E, 2, B, L
2a, TIJD-E, 4, 1, R
2a, PT:wijs-32, 4, 1, L
2a, PT:wijs-32, 4, 1, R
2a, JARIG-A-5, 26, Beak_open, L
2a, JARIG-A-5, 2, B, R
2a, JEZUS-A-4, 2, B, L
2a, JEZUS-A-4, 2, B, R
2a, 7-B-1, 25, 5, L
2a, 7-B-1, 12, L, R
2a, BOOM-A-1, 25, 5, L
2a, BOOM-A-1, 25, 5, R
2a, SCHRIJVEN-D-5, 24, Baby_O, L
2a, SCHRIJVEN-D-5, 2, B, R
2a, PT:wijs-19, 25, 5, L
2a, PT:wijs-19, 4, 1, R
2a, KOMPAS, 4, 1, L
2a, KOMPAS, 2, B, R
2a, BRIEF-A-5, 2, B, L
2a, BRIEF-A-5, 1, A, R
2a, 8-B, 25, 5, L
2a, 8-B, 21, W, R
2a, 8-B-8, 21, W, L
2a, 8-B-8, 25, 5, R
2a, OVER-A-3, 38, B_curved, L
2a, OVER-A-3, 38, B_curved, R
2a, ECHT-WAAR-3, 2, B, L
2a, ECHT-WAAR-3, 9, N, R
2a, GEBRUIKEN-A-22, 2, B, L
2a, GEBRUIKEN-A-22, 9, N, R
2a, PRINCIPE, 2, B, L
2a, PRINCIPE, 27, B_bent, R
2a, SCHOOL-E-1, 2, B, L
2a, SCHOOL-E-1, 24, Baby_O, R
2a, WET-B, 2, B, L
2a, WET-B, 2, B, R
2a, PT:duim-20, 4, 1, L
2a, PT:duim-20, 4, 1, R
2a, TOP-A, 2, B, L
2a, TOP-A, 4, 1, R
2a, GEBRUIKEN-C-16, 2, B, L
2a, GEBRUIKEN-C-16, 4, 1, R
2a, ENZOVOORTS-A-25, 4, 1, L
2a, ENZOVOORTS-A-25, 4, 1, R
2a, STRUISVOGEL, 42, Beak, L
2a, STRUISVOGEL, 42, Beak, R
2a, QUEER, 30, 4, L
2a, QUEER, 4, 1, R
2a, JARIG-A-7, 2, B, L
2a, JARIG-A-7, 26, Beak_open, R
2a, DOLLAR-B-1, 26, Beak_open, L
2a, DOLLAR-B-1, 42, Beak, R
2a, PT:mid-34, 4, 1, L
2a, PT:mid-34, 4, 1, R
2a, PT:wijs-30, 4, 1, L
2a, PT:wijs-30, 4, 1, R
2a, MSN-B, 2, B, L
2a, MSN-B, 26, Beak_open, R
2a, THEE, 3, C, L
2a, THEE, 18, T, R
2a, ENZOVOORTS-A-12, 30, 4, L
2a, ENZOVOORTS-A-12, 4, 1, R
2a, THEE-1, 3, C, L
2a, THEE-1, 18, T, R
2a, KAARTEN-A, 3, C, L
2a, KAARTEN-A, 3, C, R
2a, AVONTUUR-B, 2, B, R
2a, PT:duim-13, 4, 1, L
2a, PT:duim-13, 4, 1, R
2a, OVER-A, 38, B_curved, L
2a, OVER-A, 38, B_curved, R
2a, SENSEO-F, 3, C, L
2a, SENSEO-F, 41, V_curved, R
2a, PT:mid-47, 4, 1, L
2a, PT:mid-47, 4, 1, R
2a, HONING-B-1, 3, C, L
2a, HONING-B-1, 36, Money, R
2a, STEMMEN-C, 2, B, L
2a, STEMMEN-C, 36, Money, R
2a, ENZOVOORTS-A-4, 30, 4, L
2a, ENZOVOORTS-A-4, 4, 1, R
2a, ORIENTATIE-A-1, 4, 1, L
2a, ORIENTATIE-A-1, 2, B, R
2a, PT:mid-19, 4, 1, L
2a, PT:mid-19, 4, 1, R
2a, BIER-A-11, 17, S, L
2a, BIER-A-11, 17, S, R
2a, JANUARI-A-1, 2, B, L
2a, JANUARI-A-1, 26, Beak_open, R
2a, INCLUSIEF, 26, Beak_open, L
2a, INCLUSIEF, 26, Beak_open, R
2a, VOETBALLEN-B-12, 19, V, L
2a, VOETBALLEN-B-12, 19, V, R
2a, SCHILDPAD-A-35, 38, B_curved, L
2a, SCHILDPAD-A-35, 1, A, R
2a, MAASTRICHT-C, 2, B, L
2a, MAASTRICHT-C, 1, A, R
2a, BIER-A, 3, C, L
2a, BIER-A, 17, S, R
2a, OVER-A-38, 38, B_curved, L
2a, OVER-A-38, 38, B_curved, R
2a, COACH-B-1, 2, B, L
2a, COACH-B-1, 2, B, R
2a, BIER-A-13, 3, C, L
2a, BIER-A-13, 17, S, R
2a, SCHILDPAD-A-39, 38, B_curved, L
2a, SCHILDPAD-A-39, 1, A, R
2a, KEARSY-CORMIER, 2, B, L
2a, KEARSY-CORMIER, 11, K, R
2a, LAATSTE-B-1, 2, B, L
2a, LAATSTE-B-1, 23, Y, R
2a, BIER-A-3, 3, C, L
2a, BIER-A-3, 17, S, R
2a, BIER-A-1, 17, S, L
2a, BIER-A-1, 17, S, R
2a, VERBAASD-C, 2, B, L
2a, VERBAASD-C, 38, B_curved, R
2a, VERZEKERING-C, 17, S, L
2a, VERZEKERING-C, 25, 5, R
2a, JOYSTICK-2, 2, B, L
2a, JOYSTICK-2, 17, S, R
2a, BIJ-C-2, 2, B, L
2a, BIJ-C-2, 2, B, R
2a, VOETBALLEN-B-13, 2, B, L
2a, VOETBALLEN-B-13, 19, V, R
2a, SCHILDPAD-A-33, 1, A, L
2a, SCHILDPAD-A-33, 38, B_curved, R
2a, SCHILDPAD-A-25, 1, A, L
2a, SCHILDPAD-A-25, 38, B_curved, R
2a, KIWI-C, 44, Baby_C, L
2a, KIWI-C, 1, A, R
2a, IDENTITEITSKAART-A, 2, B, L
2a, IDENTITEITSKAART-A, 2, B, R
2a, TEGEN-AAN-LOPEN-B, 4, 1, L
2a, TEGEN-AAN-LOPEN-B, 17, S, R
2a, SENSEO-G-3, 3, C, L
2a, SENSEO-G-3, 41, V_curved, R
2a, DRAAIORGEL-9, 3, C, L
2a, DRAAIORGEL-9, 17, S, R
2a, ENZOVOORTS-C-3, 25, 5, L
2a, ENZOVOORTS-C-3, 25, 5, R
2a, PT:wijs-6, 4, 1, L
2a, PT:wijs-6, 4, 1, R
2a, SCHILDPAD-A-51, 1, A, L
2a, SCHILDPAD-A-51, 38, B_curved, R
2a, LEZING, 2, B, L
2a, LEZING, 25, 5, R
2a, RUSLAND-D, 4, 1, L
2a, RUSLAND-D, 36, Money, R
2a, SCHILDPAD-A-66, 38, B_curved, L
2a, SCHILDPAD-A-66, 1, A, R
2a, HARD-B-6, 2, B, L
2a, HARD-B-6, 22, 1_curved, R
2a, GEBRUIKEN-C-17, 2, B, L
2a, GEBRUIKEN-C-17, 4, 1, R
2a, SCHRIJVEN-D-19, 2, B, L
2a, SCHRIJVEN-D-19, 24, Baby_O, R
2a, VECHTEN-C, 4, 1, L
2a, VECHTEN-C, 4, 1, R
2a, 6-B-5, 25, 5, L
2a, 6-B-5, 1, A, R
2a, PT:mid-20, 4, 1, L
2a, PT:mid-20, 25, 5, R
2a, PT:wijs-23, 4, 1, L
2a, PT:wijs-23, 4, 1, R
2a, OVER-A-42, 38, B_curved, L
2a, OVER-A-42, 2, B, R
2a, BIER-A-12, 3, C, L
2a, BIER-A-12, 17, S, R
2a, VOETBALLEN-B-15, 19, V, L
2a, VOETBALLEN-B-15, 19, V, R
2a, PT:ring-21, 4, 1, L
2a, PT:ring-21, 4, 1, R
2a, ECHT-WAAR, 2, B, L
2a, ECHT-WAAR, 9, N, R
2a, ENZOVOORTS-A-1, 4, 1, L
2a, ENZOVOORTS-A-1, 4, 1, R
2a, TAART-A, 2, B, L
2a, TAART-A, 4, 1, R
2a, ENZOVOORTS-A-15, 30, 4, L
2a, ENZOVOORTS-A-15, 4, 1, R
2a, VLEES-C, 25, 5, L
2a, VLEES-C, 18, T, R
2a, BIER-A-8, 3, C, L
2a, BIER-A-8, 17, S, R
2a, GEBRUIKEN-A-11, 2, B, L
2a, GEBRUIKEN-A-11, 9, N, R
2a, PT:wijs-16, 25, 5, L
2a, PT:wijs-16, 4, 1, R
2a, IN-E-6, 3, C, L
2a, IN-E-6, 4, 1, R
2a, SCHRIJVEN-B-10, 2, B, L
2a, SCHRIJVEN-B-10, 18, T, R
2a, DOORZETTEN-C, 4, 1, L
2a, DOORZETTEN-C, 17, S, R
2a, SENSEO-F-2, 3, C, L
2a, SENSEO-F-2, 41, V_curved, R
2a, JAMMER-C-4, 2, B, L
2a, JAMMER-C-4, 17, S, R
2a, CAFE-A-4, 3, C, L
2a, CAFE-A-4, 17, S, R
2a, PT:duim-27, 4, 1, L
2a, PT:duim-27, 4, 1, R
2a, BETALEN-4, 2, B, L
2a, BETALEN-4, 1, A, R
2a, JARIG-A-11, 2, B, L
2a, JARIG-A-11, 2, B, R
2a, JEZUS-A-1, 43, 5m, L
2a, JEZUS-A-1, 2, B, R
2a, VIOOL, 3, C, L
2a, VIOOL, 18, T, R
2a, JOYSTICK, 2, B, L
2a, JOYSTICK, 17, S, R
