2s, PO-4003, 2, B, L
2s, PO-281, 2, B, R
2s, JAAR-B-21, 17, S, L
2s, JAAR-B-21, 17, S, R
2s, VERSCHILLENDE-A-10, 25, 5, L
2s, VERSCHILLENDE-A-10, 25, 5, R
2s, TOUW-A-1, 18, T, L
2s, TOUW-A-1, 18, T, R
2s, ONTWIKKELEN-A-26, 4, 1, L
2s, ONTWIKKELEN-A-26, 4, 1, R
2s, GEBAREN-A-5, 25, 5, L
2s, GEBAREN-A-5, 25, 5, R
2s, GEBAREN-A-567, 25, 5, L
2s, GEBAREN-A-567, 25, 5, R
2s, KAR, 17, S, L
2s, KAR, 17, S, R
2s, PO-2582, 2, B, L
2s, PO-2582, 2, B, R
2s, GEHANDICAPT-A-60, 4, 1, L
2s, GEHANDICAPT-A-60, 4, 1, R
2s, GEBAREN-A-502, 25, 5, L
2s, GEBAREN-A-502, 25, 5, R
2s, RENNEN-B-14, 2, B, L
2s, RENNEN-B-14, 2, B, R
2s, PO-2901, 2, B, L
2s, PO-2901, 2, B, R
2s, PO-1775, 2, B, L
2s, PO-1775, 2, B, R
2s, DIER-5, 37, C_spread, L
2s, DIER-5, 37, C_spread, R
2s, GEHANDICAPT-B-33, 9, N, L
2s, GEHANDICAPT-B-33, 9, N, R
2s, PO-969, 2, B, L
2s, PO-969, 2, B, R
2s, KLAP-2, 2, B, L
2s, KLAP-2, 2, B, R
2s, BOS-A-16, 3, C, L
2s, BOS-A-16, 3, C, R
2s, GEZOND-A-4, 18, T, L
2s, GEZOND-A-4, 18, T, R
2s, LOPEN-H-14, 38, B_curved, L
2s, LOPEN-H-14, 38, B_curved, R
2s, ENE-KANT-ANDERE-KANT-E-2, 2, B, L
2s, ENE-KANT-ANDERE-KANT-E-2, 2, B, R
2s, GEBAREN-A-371, 25, 5, L
2s, GEBAREN-A-371, 25, 5, R
2s, PO-383, 2, B, L
2s, PO-383, 2, B, R
2s, PO-518, 2, B, L
2s, PO-518, 2, B, R
2s, OEFENEN-A-22, 17, S, L
2s, OEFENEN-A-22, 17, S, R
2s, PV-152, 25, 5, L
2s, PV-152, 25, 5, R
2s, PO-2720, 2, B, L
2s, PO-2720, 2, B, R
2s, PO-2267, 2, B, L
2s, PO-2267, 2, B, R
2s, PO-1179, 2, B, L
2s, PO-1179, 2, B, R
2s, VERSCHIL-A-27, 4, 1, L
2s, VERSCHIL-A-27, 4, 1, R
2s, PV-40, 25, 5, L
2s, PV-40, 25, 5, R
2s, PO-2234, 2, B, L
2s, PO-2234, 2, B, R
2s, PO-3396, 2, B, L
2s, PO-3396, 2, B, R
2s, DIER-2, 37, C_spread, L
2s, DIER-2, 37, C_spread, R
2s, BESLUITEN-A-8, 17, S, L
2s, BESLUITEN-A-8, 17, S, R
2s, JE-BEST-DOEN-9, 17, S, L
2s, JE-BEST-DOEN-9, 17, S, R
2s, GEBAREN-A-761, 25, 5, L
2s, GEBAREN-A-761, 25, 5, R
2s, PO-1073, 2, B, L
2s, PO-1073, 2, B, R
2s, PV-21, 25, 5, L
2s, PV-21, 25, 5, R
2s, ROLSTOEL-B-4, 4, 1, L
2s, ROLSTOEL-B-4, 4, 1, R
2s, PO-1277, 2, B, L
2s, PO-1277, 2, B, R
2s, PO-3664, 2, B, R
2s, WAKKER-7, 45, Baby_beak, L
2s, WAKKER-7, 45, Baby_beak, R
2s, PO-3734, 2, B, L
2s, PO-3734, 2, B, R
2s, METSELEN-A, 2, B, L
2s, METSELEN-A, 2, B, R
2s, COMMUNICEREN-5, 3, C, L
2s, COMMUNICEREN-5, 3, C, R
2s, TELEVISIE-C-2, 4, 1, L
2s, TELEVISIE-C-2, 4, 1, R
2s, WOORD-A, 44, Baby_C, L
2s, WOORD-A, 44, Baby_C, R
2s, LIGGEN-2, 2, B, L
2s, LIGGEN-2, 2, B, R
2s, PO-2721, 2, B, L
2s, PO-2721, 2, B, R
2s, HELPEN-A-35, 25, 5, L
2s, HELPEN-A-35, 25, 5, R
2s, AUTOMATISCH-B-1, 14, O, L
2s, AUTOMATISCH-B-1, 14, O, R
2s, SPELEN-A-1, 25, 5, L
2s, SPELEN-A-1, 25, 5, R
2s, PO-572, 2, B, L
2s, PO-572, 2, B, R
2s, STOEL-1, 17, S, L
2s, STOEL-1, 17, S, R
2s, INTERNATIONAAL-14, 9, N, L
2s, INTERNATIONAAL-14, 9, N, R
2s, NIET-B-33, 2, B, L
2s, NIET-B-33, 2, B, R
2s, TELEVISIE-B-3, 37, C_spread, L
2s, TELEVISIE-B-3, 37, C_spread, R
2s, TEST-3, 18, T, L
2s, TEST-3, 18, T, R
2s, APART-B-13, 44, Baby_C, L
2s, APART-B-13, 44, Baby_C, R
2s, PO-3860, 2, B, L
2s, PO-3860, 2, B, R
2s, PO-107, 2, B, L
2s, PO-107, 2, B, R
2s, ONTWIKKELEN-A-21, 4, 1, L
2s, ONTWIKKELEN-A-21, 4, 1, R
2s, AANPASSEN-B, 37, C_spread, L
2s, AANPASSEN-B, 37, C_spread, R
2s, PO-3523, 2, B, L
2s, PO-3523, 2, B, R
2s, LOPEN-D-35, 2, B, L
2s, LOPEN-D-35, 2, B, R
2s, MERCEDES-B, 4, 1, L
2s, MERCEDES-B, 4, 1, R
2s, ENE-KANT-ANDERE-KANT-A-1, 2, B, L
2s, ENE-KANT-ANDERE-KANT-A-1, 2, B, R
2s, NEDERLAND-A-9, 26, Beak_open, L
2s, NEDERLAND-A-9, 26, Beak_open, R
2s, VOOR-C-15, 27, B_bent, L
2s, VOOR-C-15, 27, B_bent, R
2s, PO-30, 2, B, L
2s, PO-30, 2, B, R
2s, VERSCHILLENDE-B-6, 25, 5, L
2s, VERSCHILLENDE-B-6, 25, 5, R
2s, BOT-34, 3, C, L
2s, BOT-34, 3, C, R
2s, PO-4121, 2, B, L
2s, PO-4121, 2, B, R
2s, AUTORIJDEN-29, 17, S, L
2s, AUTORIJDEN-29, 17, S, R
2s, VRIEND-A-36, 2, B, L
2s, VRIEND-A-36, 2, B, R
2s, KLAAR-A-105, 2, B, L
2s, KLAAR-A-105, 2, B, R
2s, ALLES-B-17, 25, 5, L
2s, ALLES-B-17, 25, 5, R
2s, GEBOUW-B-14, 19, V, L
2s, GEBOUW-B-14, 19, V, R
2s, PO-1087, 2, B, L
2s, PO-1087, 2, B, R
2s, PO-736, 2, B, L
2s, PO-736, 2, B, R
2s, PO-647, 2, B, L
2s, PO-647, 2, B, R
2s, PO-1627, 2, B, L
2s, PO-1627, 2, B, R
2s, HEK-B-1, 2, B, L
2s, HEK-B-1, 2, B, R
2s, PLEZIER-C, 27, B_bent, L
2s, PLEZIER-C, 27, B_bent, R
2s, SEKS-1, 41, V_curved, L
2s, SEKS-1, 41, V_curved, R
2s, GEBAREN-A-619, 25, 5, L
2s, GEBAREN-A-619, 25, 5, R
2s, PO-2150, 2, B, L
2s, PO-2150, 2, B, R
2s, FEEST-A-2, 23, Y, L
2s, FEEST-A-2, 23, Y, R
2s, VERSCHIL-A-26, 4, 1, L
2s, VERSCHIL-A-26, 4, 1, R
2s, PO-666, 2, B, L
2s, PO-666, 2, B, R
2s, PO-3198, 2, B, L
2s, PO-3198, 2, B, R
2s, MATERIAAL-4, 36, Money, L
2s, MATERIAAL-4, 36, Money, R
2s, WACHTEN-E-1, 38, B_curved, L
2s, WACHTEN-E-1, 38, B_curved, R
2s, PO-1014, 2, B, L
2s, PO-1014, 2, B, R
2s, PO-3810, 2, B, L
2s, PO-3810, 2, B, R
2s, PO-2214, 2, B, L
2s, PO-2214, 2, B, R
2s, BLOEMKOOL-A, 37, C_spread, L
2s, BLOEMKOOL-A, 37, C_spread, R
2s, GEBAREN-A-154, 25, 5, L
2s, GEBAREN-A-154, 25, 5, R
2s, GEBAREN-A-446, 25, 5, L
2s, GEBAREN-A-446, 25, 5, R
2s, PO-3589, 2, B, L
2s, PO-3589, 2, B, R
2s, BETER-37, 18, T, L
2s, BETER-37, 18, T, R
2s, GEBAREN-A-69, 25, 5, L
2s, GEBAREN-A-69, 25, 5, R
2s, BEER-D-3, 37, C_spread, L
2s, BEER-D-3, 37, C_spread, R
2s, PO-1072, 2, B, L
2s, PO-1072, 2, B, R
2s, DOEN-A-65, 26, Beak_open, L
2s, DOEN-A-65, 26, Beak_open, R
2s, CONGRES-F, 22, 1_curved, L
2s, CONGRES-F, 22, 1_curved, R
2s, NEDERLAND-A-38, 26, Beak_open, L
2s, NEDERLAND-A-38, 26, Beak_open, R
2s, PO-3294, 2, B, L
2s, PO-3294, 2, B, R
2s, GEHANDICAPT-A-141, 4, 1, L
2s, GEHANDICAPT-A-141, 4, 1, R
2s, PO-3347, 2, B, L
2s, PO-3347, 2, B, R
2s, OVERHEERSEN-A, 17, S, L
2s, OVERHEERSEN-A, 17, S, R
2s, KAS, 2, B, L
2s, KAS, 2, B, R
2s, RICHTING-2, 2, B, L
2s, RICHTING-2, 2, B, R
2s, LOPEN-D-21, 2, B, L
2s, LOPEN-D-21, 2, B, R
2s, SOMS-A-7, 25, 5, L
2s, SOMS-A-7, 25, 5, R
2s, GROEP-A-86, 3, C, L
2s, GROEP-A-86, 3, C, R
2s, PO-2030, 2, B, L
2s, PO-2030, 2, B, R
2s, BOT-46, 3, C, L
2s, BOT-46, 3, C, R
2s, SAMEN-A-23, 3, C, L
2s, SAMEN-A-23, 3, C, R
2s, COMMUNICEREN-73, 3, C, L
2s, COMMUNICEREN-73, 3, C, R
2s, PO-369, 2, B, L
2s, PO-369, 2, B, R
2s, INTERNET-C-15, 43, 5m, L
2s, INTERNET-C-15, 43, 5m, R
2s, GEBAREN-A-599, 25, 5, L
2s, GEBAREN-A-599, 25, 5, R
2s, EMAIL-E-9, 24, Baby_O, L
2s, EMAIL-E-9, 24, Baby_O, R
2s, PO-2723, 2, B, L
2s, PO-2723, 2, B, R
2s, PV-91, 25, 5, L
2s, PV-91, 25, 5, R
2s, PV-133, 25, 5, L
2s, PV-133, 25, 5, R
2s, PO-3904, 2, B, L
2s, PO-3904, 2, B, R
2s, KLAAR-A-26, 2, B, L
2s, KLAAR-A-26, 2, B, R
2s, BEGINNEN-A, 1, A, L
2s, BEGINNEN-A, 1, A, R
2s, LESGEVEN-15, 42, Beak, L
2s, LESGEVEN-15, 42, Beak, R
2s, GROEP-C-31, 3, C, L
2s, GROEP-C-31, 3, C, R
2s, ANNOTEREN, 1, A, L
2s, ANNOTEREN, 1, A, R
2s, LOPEN-E-42, 3, C, L
2s, LOPEN-E-42, 3, C, R
2s, DUIMEN-1, 1, A, L
2s, DUIMEN-1, 1, A, R
2s, DANSEN-B-11, 17, S, L
2s, DANSEN-B-11, 17, S, R
2s, CONTEXT-A-1, 4, 1, L
2s, CONTEXT-A-1, 4, 1, R
2s, PO-2154, 2, B, L
2s, PO-2154, 2, B, R
2s, GEBAREN-A-753, 25, 5, L
2s, GEBAREN-A-753, 25, 5, R
2s, CONGRES-F-1, 22, 1_curved, L
2s, CONGRES-F-1, 22, 1_curved, R
2s, PO-1920, 2, B, L
2s, PO-1920, 2, B, R
2s, SOMS-A-15, 25, 5, L
2s, SOMS-A-15, 25, 5, R
2s, PO-3541, 2, B, L
2s, PO-3541, 2, B, R
2s, PO-630, 2, B, L
2s, PO-630, 2, B, R
2s, GEBAREN-A-744, 25, 5, L
2s, GEBAREN-A-744, 25, 5, R
2s, GEBAREN-A-478, 25, 5, L
2s, GEBAREN-A-478, 25, 5, R
2s, PO-2445, 2, B, L
2s, PO-2445, 2, B, R
2s, LOPEN-H-38, 38, B_curved, L
2s, LOPEN-H-38, 38, B_curved, R
2s, GEBAREN-A-327, 25, 5, L
2s, GEBAREN-A-327, 25, 5, R
2s, SAMEN-A-50, 3, C, L
2s, SAMEN-A-50, 3, C, R
2s, LIJN-B-4, 4, 1, L
2s, LIJN-B-4, 4, 1, R
2s, FIETSSLOT, 17, S, L
2s, FIETSSLOT, 17, S, R
2s, PO-1403, 2, B, L
2s, PO-1403, 2, B, R
2s, INTERNET-C-11, 43, 5m, L
2s, INTERNET-C-11, 43, 5m, R
2s, VOELEN-B-7, 42, Beak, L
2s, VOELEN-B-7, 42, Beak, R
2s, IJZER, 36, Money, L
2s, IJZER, 36, Money, R
2s, VOGEL-A-86, 2, B, L
2s, VOGEL-A-86, 2, B, R
2s, HUIS-A-4, 2, B, L
2s, HUIS-A-4, 2, B, R
2s, COMMUNICEREN-37, 3, C, L
2s, COMMUNICEREN-37, 3, C, R
2s, VERSCHILLENDE-C, 4, 1, L
2s, VERSCHILLENDE-C, 4, 1, R
2s, SUCCES-A-1, 17, S, L
2s, SUCCES-A-1, 17, S, R
2s, PO-67, 2, B, L
2s, PO-67, 2, B, R
2s, AL-127, 2, B, L
2s, AL-127, 2, B, R
2s, ERGENS-B-1, 25, 5, L
2s, ERGENS-B-1, 25, 5, R
2s, HANDEN-WRIJVEN-B-1, 2, B, L
2s, HANDEN-WRIJVEN-B-1, 2, B, R
2s, PO-2571, 2, B, L
2s, PO-2571, 2, B, R
2s, BOT-44, 3, C, L
2s, BOT-44, 3, C, R
2s, KAPOT-21, 17, S, L
2s, KAPOT-21, 17, S, R
2s, VOGELKOOI-A-37, 2, B, L
2s, VOGELKOOI-A-37, 2, B, R
2s, PO-2780, 2, B, L
2s, PO-2780, 2, B, R
2s, ROLLEN-13, 4, 1, L
2s, ROLLEN-13, 4, 1, R
2s, PRATEN-B-69, 26, Beak_open, L
2s, PRATEN-B-69, 26, Beak_open, R
2s, PO-567, 2, B, L
2s, PO-567, 2, B, R
2s, PO-2741, 2, B, L
2s, PO-2741, 2, B, R
2s, ONTMOETEN-A-41, 4, 1, L
2s, ONTMOETEN-A-41, 4, 1, R
2s, PO-17, 2, B, L
2s, PO-17, 2, B, R
2s, LOPEN-E-52, 3, C, L
2s, LOPEN-E-52, 3, C, R
2s, GEHANDICAPT-A-89, 4, 1, L
2s, GEHANDICAPT-A-89, 4, 1, R
2s, AL-130, 2, B, L
2s, AL-130, 2, B, R
2s, GEBAREN-A-657, 25, 5, L
2s, GEBAREN-A-657, 25, 5, R
2s, PO-1299, 2, B, L
2s, PO-1299, 2, B, R
2s, VERHAAL-8, 4, 1, L
2s, VERHAAL-8, 4, 1, R
2s, SPORT-A-7, 1, A, L
2s, SPORT-A-7, 1, A, R
2s, BOOT-11, 2, B, L
2s, BOOT-11, 2, B, R
2s, GEBAREN-A-527, 25, 5, L
2s, GEBAREN-A-527, 25, 5, R
2s, GROEP-A-123, 3, C, L
2s, GROEP-A-123, 3, C, R
2s, WEG-A-14, 2, B, L
2s, WEG-A-14, 2, B, R
2s, VERSCHIL-A-35, 4, 1, L
2s, VERSCHIL-A-35, 4, 1, R
2s, GEBAREN-A-314, 25, 5, L
2s, GEBAREN-A-314, 25, 5, R
2s, PO-3196, 2, B, L
2s, PO-3196, 2, B, R
2s, PO-3991, 2, B, L
2s, PO-3991, 2, B, R
2s, PO-76, 2, B, L
2s, PO-76, 2, B, R
2s, VARIATIE-18, 4, 1, L
2s, VARIATIE-18, 4, 1, R
2s, PO-1407, 2, B, L
2s, PO-1407, 2, B, R
2s, GEBAREN-C-18, 25, 5, L
2s, GEBAREN-C-18, 25, 5, R
2s, ALLES-A-35, 25, 5, L
2s, ALLES-A-35, 25, 5, R
2s, BESLUITEN-A-26, 17, S, L
2s, BESLUITEN-A-26, 17, S, R
2s, BAKKEN-B, 2, B, L
2s, BAKKEN-B, 2, B, R
2s, DOEN-A-55, 26, Beak_open, L
2s, DOEN-A-55, 26, Beak_open, R
2s, PO-1943, 2, B, L
2s, PO-1943, 2, B, R
2s, ONTSPANNEN-C-6, 21, W, L
2s, ONTSPANNEN-C-6, 21, W, R
2s, OLYMPISCH-5, 18, T, L
2s, OLYMPISCH-5, 18, T, R
2s, VERWENNEN, 25, 5, L
2s, VERWENNEN, 25, 5, R
2s, COMMUNICEREN-80, 3, C, L
2s, COMMUNICEREN-80, 3, C, R
2s, PAARD-A-26, 23, Y, L
2s, PAARD-A-26, 23, Y, R
2s, NON-B, 9, N, L
2s, NON-B, 9, N, R
2s, BUS-A, 17, S, L
2s, BUS-A, 17, S, R
2s, PO-2551, 2, B, L
2s, PO-2551, 2, B, R
2s, BESLUITEN-A-7, 17, S, L
2s, BESLUITEN-A-7, 17, S, R
2s, RENNEN-A-8, 17, S, L
2s, RENNEN-A-8, 17, S, R
2s, NADENKEN-A-17, 4, 1, L
2s, NADENKEN-A-17, 4, 1, R
2s, SCHILDPAD-C-2, 38, B_curved, L
2s, SCHILDPAD-C-2, 38, B_curved, R
2s, GROEP-A-155, 3, C, L
2s, GROEP-A-155, 3, C, R
2s, SAMENVATTEN-1, 26, Beak_open, L
2s, SAMENVATTEN-1, 26, Beak_open, R
2s, WACHTEN-A-1, 25, 5, L
2s, WACHTEN-A-1, 25, 5, R
2s, PO-3629, 2, B, L
2s, PO-3629, 2, B, R
2s, PO-1281, 2, B, L
2s, PO-1281, 2, B, R
2s, PO-4045, 2, B, L
2s, PO-4045, 2, B, R
2s, HANDEN-WRIJVEN-A-20, 38, B_curved, L
2s, HANDEN-WRIJVEN-A-20, 38, B_curved, R
2s, VAARDIG-3, 2, B, L
2s, VAARDIG-3, 2, B, R
2s, GESCHEURD, 18, T, R
2s, 88-C, 21, W, L
2s, 88-C, 21, W, R
2s, JAS-A-11, 17, S, L
2s, JAS-A-11, 17, S, R
2s, PO-879, 2, B, L
2s, PO-879, 2, B, R
2s, ENZOVOORTS-B, 25, 5, L
2s, ENZOVOORTS-B, 25, 5, R
2s, VOGELKOOI-A-7, 2, B, L
2s, VOGELKOOI-A-7, 2, B, R
2s, PO-3238, 2, B, L
2s, PO-3238, 2, B, R
2s, ENZOVOORTS-D-5, 25, 5, L
2s, ENZOVOORTS-D-5, 25, 5, R
2s, LIJN-C-15, 2, B, L
2s, LIJN-C-15, 2, B, R
2s, PO-187, 2, B, L
2s, PO-187, 2, B, R
2s, ROLLEN-2, 4, 1, L
2s, ROLLEN-2, 4, 1, R
2s, GEBAREN-A-473, 25, 5, L
2s, GEBAREN-A-473, 25, 5, R
2s, PIZZA-C-1, 23, Y, L
2s, PIZZA-C-1, 23, Y, R
2s, MATERIAAL-3, 36, Money, L
2s, MATERIAAL-3, 36, Money, R
2s, PV-7, 25, 5, L
2s, PV-7, 25, 5, R
2s, LICHAAM-B-8, 25, 5, L
2s, LICHAAM-B-8, 25, 5, R
2s, SCHREEUWEN-A-9, 37, C_spread, L
2s, SCHREEUWEN-A-9, 37, C_spread, R
2s, GROEP-A-163, 3, C, L
2s, GROEP-A-163, 3, C, R
2s, STEVIG-5, 17, S, L
2s, STEVIG-5, 17, S, R
2s, ELAN-1, 30, 4, L
2s, ELAN-1, 30, 4, R
2s, PO-2600, 2, B, L
2s, PO-2600, 2, B, R
2s, STOK-B, 18, T, L
2s, STOK-B, 18, T, R
2s, BAKKEVEEN, 2, B, L
2s, BAKKEVEEN, 2, B, R
2s, PO-3547, 2, B, L
2s, PO-3547, 2, B, R
2s, GEBOREN-C, 2, B, L
2s, GEBOREN-C, 2, B, R
2s, INTERNET-B-14, 14, O, L
2s, INTERNET-B-14, 14, O, R
2s, PO-1793, 2, B, L
2s, PO-1793, 2, B, R
2s, PO-780, 2, B, L
2s, PO-780, 2, B, R
2s, HOEK-A-9, 2, B, L
2s, HOEK-A-9, 2, B, R
2s, PO-3550, 2, B, L
2s, PO-3550, 2, B, R
2s, PO-2920, 2, B, L
2s, PO-2920, 2, B, R
2s, ONTWIKKELEN-B-6, 2, B, L
2s, ONTWIKKELEN-B-6, 2, B, R
2s, ACCEPTEREN-A-29, 26, Beak_open, L
2s, ACCEPTEREN-A-29, 26, Beak_open, R
2s, HANDEN-WRIJVEN-A-9, 38, B_curved, L
2s, HANDEN-WRIJVEN-A-9, 38, B_curved, R
2s, GEHANDICAPT-E, 27, B_bent, L
2s, GEHANDICAPT-E, 27, B_bent, R
2s, GEBAREN-A-170, 25, 5, L
2s, GEBAREN-A-170, 25, 5, R
2s, SCHILDPAD-C-5, 38, B_curved, L
2s, SCHILDPAD-C-5, 38, B_curved, R
2s, PO-1639, 2, B, L
2s, PO-1639, 2, B, R
2s, PO-64, 2, B, L
2s, PO-64, 2, B, R
2s, ONTWIKKELEN-A-62, 4, 1, L
2s, ONTWIKKELEN-A-62, 4, 1, R
2s, PO-2008, 2, B, L
2s, PO-2008, 2, B, R
2s, PO-1244, 2, B, L
2s, PO-1244, 2, B, R
2s, KLAAR-A-84, 2, B, L
2s, KLAAR-A-84, 2, B, R
2s, DIK-1, 25, 5, L
2s, DIK-1, 25, 5, R
2s, LOPEN-D-24, 2, B, L
2s, LOPEN-D-24, 2, B, R
2s, DANSEN-B, 17, S, L
2s, DANSEN-B, 17, S, R
2s, PO-2015, 2, B, L
2s, PO-2015, 2, B, R
2s, AUTOMATISCH-B-3, 14, O, L
2s, AUTOMATISCH-B-3, 14, O, R
2s, SPANJE-B-1, 2, B, L
2s, SPANJE-B-1, 2, B, R
2s, SCHILDPAD-C, 38, B_curved, L
2s, SCHILDPAD-C, 38, B_curved, R
2s, GEBAREN-A-555, 25, 5, L
2s, GEBAREN-A-555, 25, 5, R
2s, GROEP-A-78, 3, C, L
2s, GROEP-A-78, 3, C, R
2s, PO-1700, 2, B, L
2s, PO-1700, 2, B, R
2s, VERVANGEN-A, 17, S, L
2s, VERVANGEN-A, 17, S, R
2s, PO-2055, 2, B, L
2s, PO-2055, 2, B, R
2s, ZELFDE-B, 4, 1, L
2s, ZELFDE-B, 4, 1, R
2s, PO-4024, 2, B, L
2s, PO-4024, 2, B, R
2s, VERSCHIL-A-19, 4, 1, L
2s, VERSCHIL-A-19, 4, 1, R
2s, WEG-A-22, 2, B, L
2s, WEG-A-22, 2, B, R
2s, PO-3805, 2, B, L
2s, PO-3805, 2, B, R
2s, PO-2068, 2, B, L
2s, PO-2068, 2, B, R
2s, GROEP-A-50, 3, C, L
2s, GROEP-A-50, 3, C, R
2s, ROTTERDAM-A-11, 2, B, L
2s, ROTTERDAM-A-11, 2, B, R
2s, PO-1192, 2, B, L
2s, PO-1192, 2, B, R
2s, PO-3804, 2, B, L
2s, PO-3804, 2, B, R
2s, PO-72, 2, B, L
2s, PO-72, 2, B, R
2s, PO-2928, 2, B, L
2s, PO-2928, 2, B, R
2s, DIPLOMA-B-5, 4, 1, L
2s, DIPLOMA-B-5, 4, 1, R
2s, BESLUITEN-A-52, 17, S, L
2s, BESLUITEN-A-52, 17, S, R
2s, KOKEN-A, 19, V, L
2s, KOKEN-A, 19, V, R
2s, GEHANDICAPT-A-39, 4, 1, L
2s, GEHANDICAPT-A-39, 4, 1, R
2s, PO-2002, 2, B, L
2s, PO-2002, 2, B, R
2s, PO-3400, 2, B, L
2s, PO-3400, 2, B, R
2s, PO-858, 2, B, L
2s, PO-858, 2, B, R
2s, WC-B-2, 9, N, L
2s, WC-B-2, 9, N, R
2s, TEGEN-B, 4, 1, L
2s, TEGEN-B, 4, 1, R
2s, WACHTEN-A-18, 25, 5, L
2s, WACHTEN-A-18, 25, 5, R
2s, UITWISSELEN-A, 42, Beak, L
2s, UITWISSELEN-A, 42, Beak, R
2s, VERANDEREN-B-21, 19, V, L
2s, VERANDEREN-B-21, 19, V, R
2s, JAS-A-6, 17, S, L
2s, JAS-A-6, 17, S, R
2s, JAGEN-A-1, 12, L, L
2s, JAGEN-A-1, 12, L, R
2s, PO-4139, 2, B, L
2s, PO-4139, 2, B, R
2s, VERANDEREN-B-47, 19, V, L
2s, VERANDEREN-B-47, 19, V, R
2s, POES-A-24, 16, Baby_beak_open, L
2s, POES-A-24, 16, Baby_beak_open, R
2s, NADENKEN-A-7, 4, 1, L
2s, NADENKEN-A-7, 4, 1, R
2s, PO-2825, 2, B, L
2s, PO-2825, 2, B, R
2s, BOT-24, 3, C, L
2s, BOT-24, 3, C, R
2s, UITLEGGEN-1, 37, C_spread, L
2s, UITLEGGEN-1, 37, C_spread, R
